feature,importance
therm_RepParty,-1.4271001314298792
VCF0130_1. Every week (Except 1970: almost every week),-0.7147029618252991
Party_id3_3. Republicans (including leaners),-0.7016795792944004
Interest_elections_3. Very much interested,-0.6141160201559808
Party_id7_7. Strong Republican,-0.591094946870058
Party_id7_3. Independent - Democrat,-0.5618089950535803
ideology7_5. Slightly conservative,-0.5439416210371618
therm_Christians,-0.44510435832946715
therm_conservatives,-0.34052722350706877
therm_Blacks,-0.3193229763088284
authoritarian4_2. Both (VOL),-0.3147441936717321
VCF0720_1. No,-0.2993345673129351
VCF0717_2. Yes,-0.29671299958825664
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.2795024918070931
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.2787737398030175
