feature,importance
therm_RepParty,-1.4270676136322624
Party_id3_3. Republicans (including leaners),-1.132733013342851
ideology7_6. Conservative,-0.9325682100836481
Party_id7_7. Strong Republican,-0.9080347666879691
follow_political_info_2. Most of the time,-0.6970474867825743
VCF0130_4. A few times a year,-0.6638953352992234
therm_conservatives,-0.5861702606740835
"approve_pres_strength_3. Disapprove, not strongly",-0.5842060474935789
authoritarian1_3. Good manners,-0.5008926703780737
votingMakedifference_unmatched category,-0.48677531896280585
meetingCommuntySchool_2. No,-0.4788075489228566
Age,-0.45228126796992835
VCF9028_2. Republican Pres. candidate,-0.37625499892999636
VCF9029_3. Win by quite a bit,-0.3609134138142632
Interest_elections_1. Not much interested,-0.35548111213687494
