feature,importance
therm_RepParty,-1.5112233645175988
Party_id3_3. Republicans (including leaners),-1.3090607341553189
Party_id7_7. Strong Republican,-0.8570975512091362
therm_conservatives,-0.6629165494587694
authoritarian3_1. Being considerate,-0.6355837800613203
sex_orientation_2. Bisexual,-0.531894877191586
have_healthInsurance_1. Yes,-0.5311660428744884
ideology7_5. Slightly conservative,-0.46740054860530134
satisfactionDemocracy_4. Not at all satisfied,-0.45252706888341054
"approve_pres_strength_4. Disapprove, strongly",-0.4464850757742346
approve_president_economy_2. Approve not strongly,-0.42499689567647964
satisfactionLife_2. Very satisfied,-0.3263659858020813
VCF0130_1. Every week (Except 1970: almost every week),-0.2856962291082167
VCF9028_2. Republican Pres. candidate,-0.26860204131946097
ideology7_2. Liberal,-0.2654661397680253
