feature,importance
"approve_pres_strength_3. Disapprove, not strongly",-1.6053157979191852
"approve_pres_strength_4. Disapprove, strongly",-1.3978311686206242
Party_id3_3. Republicans (including leaners),-0.93184113635351
therm_RepParty,-0.9268430170090458
Party_id7_7. Strong Republican,-0.8968653031618945
approve_pres_1. Approve,-0.8715011842437473
satisfactionDemocracy_4. Not at all satisfied,-0.6326080877489499
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.6211642496629712
blackInfluence_Politics_1. Too much influence,-0.49631516787671515
howOftenTrust_1. Always,-0.47700990106407704
VCF9028_2. Republican Pres. candidate,-0.46286297827018885
therm_conservatives,-0.44000677921642284
"VCF9030_4. Yes, contact: other",-0.33245647091425895
Family_income_5. 96 to 100 percentile,-0.3311915229614099
sex_orientation_2. Bisexual,-0.2994153693277587
