,N_predict_vote_D,N_predict_vote_R,N_voter_vote_D,N_voter_vote_R,N_total_vote_D,N_total_vote_R,ratio_total_vote_D,ratio_total_vote_R
NY,650,436,1086,835,1736,1271,0.577,0.423
OH,362,407,651,722,1013,1129,0.473,0.527
ID,10,36,67,85,77,121,0.389,0.611
MI,382,332,750,714,1132,1046,0.52,0.48
GA,414,356,410,364,824,720,0.534,0.466
NE,56,80,103,123,159,203,0.439,0.561
MA,243,85,545,306,788,391,0.668,0.332
KY,169,203,218,239,387,442,0.467,0.533
MO,162,204,284,329,446,533,0.456,0.544
NC,426,225,573,414,999,639,0.61,0.39
AR,269,233,241,213,510,446,0.533,0.467
MN,205,97,473,329,678,426,0.614,0.386
TN,203,324,308,383,511,707,0.42,0.58
KS,58,131,133,207,191,338,0.361,0.639
WI,156,119,361,319,517,438,0.541,0.459
IN,176,284,309,399,485,683,0.415,0.585
CT,105,81,271,258,376,339,0.526,0.474
NJ,223,194,427,439,650,633,0.507,0.493
AL,173,218,244,250,417,468,0.471,0.529
OR,143,59,278,203,421,262,0.616,0.384
SD,17,51,70,95,87,146,0.373,0.627
LA,166,141,222,203,388,344,0.53,0.47
DC,48,0,92,4,140,4,0.972,0.028
CA,1001,493,1785,1274,2786,1767,0.612,0.388
CO,174,128,324,269,498,397,0.556,0.444
NM,63,25,98,69,161,94,0.631,0.369
IL,275,179,704,545,979,724,0.575,0.425
PA,396,359,730,666,1126,1025,0.523,0.477
TX,853,697,1032,877,1885,1574,0.545,0.455
SC,87,123,175,150,262,273,0.49,0.51
MS,101,100,124,116,225,216,0.51,0.49
IA,96,148,257,359,353,507,0.41,0.59
MD,213,102,345,232,558,334,0.626,0.374
WA,186,90,408,273,594,363,0.621,0.379
VA,383,282,427,349,810,631,0.562,0.438
FL,406,438,708,751,1114,1189,0.484,0.516
ME,54,15,84,62,138,77,0.642,0.358
UT,53,87,103,125,156,212,0.424,0.576
OK,67,83,123,130,190,213,0.471,0.529
AZ,84,96,223,242,307,338,0.476,0.524
WV,57,113,77,105,134,218,0.381,0.619
WY,48,76,52,57,100,133,0.429,0.571
DE,32,1,33,14,65,15,0.812,0.188
NH,47,43,86,76,133,119,0.528,0.472
HI,9,1,19,10,28,11,0.718,0.282
NV,26,12,75,58,101,70,0.591,0.409
ND,1,12,19,42,20,54,0.27,0.73
RI,14,3,27,23,41,26,0.612,0.388
VT,2,0,27,8,29,8,0.784,0.216
MT,3,3,23,23,26,26,0.5,0.5
AK,0,0,2,9,2,9,0.182,0.818
all,9920,7632,16207,14348,26127,21980,0.543,0.457
