feature,importance
therm_DemParty,0.44016243301288843
therm_Whites,0.1966464399426397
therm_Blacks,0.15481209550372213
therm_hispanics,0.09946019846342488
therm_liberals,0.09133224124493305
therm_Christians,0.010634043541742461
Interest_elections_2. Somewhat interested,0.0
VCF0720_1. No,0.0
VCF0720_2. Yes,0.0
Family_income_1. 0 to 16 percentile,0.0
Family_income_3. 34 to 67 percentile,0.0
Family_income_4. 68 to 95 percentile,0.0
Interest_elections_1. Not much interested,0.0
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.0
Interest_elections_3. Very much interested,0.0
