feature,importance
therm_Christians,-0.14697572702267087
therm_Mislims,-0.04049476681192964
therm_ChrFundament,-0.0811900812019771
therm_hispanics,0.23422207027247763
therm_RepParty,-0.48561535184961474
therm_DemParty,0.579630627414183
therm_Whites,0.1750327622045045
therm_liberals,0.139194153180883
therm_conservatives,-0.5716170891561608
therm_Blacks,-0.19894651670349775
Age,0.18942623385655682
howOftenTrust_Missing,0.0
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.037589361849504926
howOftenTrust_3. About half the time,0.02086381029311562
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,-0.08441485632755011
follow_political_info_3. About half the time,0.02068796793296611
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.12712240880960252
bisexalFamilyorFriends_Missing,-0.018264844862477522
bisexalFamilyorFriends_1. Yes,0.17853412925375173
bisexalFamilyorFriends_2. No,-0.008808876717081176
blackInfluence_Politics_Missing,-0.001379597125546156
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.17424522037400153
blackInfluence_Politics_3. Too little influence,0.5907551800313573
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_Missing,-0.000769892181224788
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.04719539097344048
votingMakedifference_Missing,-0.0007065036492738712
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,-0.02224729704377605
votingMakedifference_unmatched category,0.006800906941044238
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.06996950661778122
satisfactionLife_3. Moderately satisfied,0.2295838759813659
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0008386473416400894
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.07976398682163742
satisfactionDemocracy_2. Fairly satisfied,-0.0433481348506753
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.009244910703200397
meetingCommuntySchool_2. No,-0.12427497247205906
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,-0.02662526236518592
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_Missing,-0.015553512258470598
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.07305171048602131
authoritarian4_Missing,-0.011016820153165591
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.005733281628351976
authoritarian1_Missing,-0.011016820153165591
authoritarian1_1. Curiosity,0.030151835526496563
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.0
authoritarian3_Missing,-0.011016820153165591
authoritarian3_1. Being considerate,0.049620134084268096
authoritarian3_2. Both (VOL),0.030918575425683974
authoritarian3_3. Well behaved,-0.05292211069385096
VCF0886_Missing,-0.13290908098335974
VCF0886_1.   Increased,0.25541475675855857
VCF0886_2.   Same,0.04117265794784098
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0886_8.   DK,0.0
volunteer_Missing,-0.1172836452572777
volunteer_1. Yes,0.10889379469660358
volunteer_2. No,0.12096144881508333
VCF0890_Missing,-0.07633028442972528
VCF0890_1.   Increased,0.06555971812098718
VCF0890_2.   Same,0.2504815608949224
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0890_8.   DK,0.0
VCF9029_Missing,-0.7870176357583551
VCF9029_1. Close race,-0.0449461953737484
VCF9029_3. Win by quite a bit,0.20313296271350234
VCF9029_8. DK; depends,0.7522054933296992
approve_president_economy_Missing,0.032726590664555175
approve_president_economy_1. Approve strongly,-0.1357773088252027
approve_president_economy_2. Approve not strongly,0.020702789770201256
approve_president_economy_4. Disapprove not strongly,0.08702913506027321
approve_president_economy_5. Disapprove strongly,0.038061214579155164
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,0.0
VCF9031_Missing,-0.30162970083753854
VCF9031_1. Yes,0.22132333031884482
VCF9031_5. No,0.0
approve_pres_strength_Missing,0.12046480730272849
"approve_pres_strength_1. Approve, strongly",0.2495492492196596
"approve_pres_strength_2. Approve, not strongly",-0.15522342518497928
"approve_pres_strength_3. Disapprove, not strongly",0.10144484399292006
"approve_pres_strength_4. Disapprove, strongly",-0.24934624001567834
approve_pres_strength_8. DK,0.0
VCF9028_Missing,0.732603308438704
VCF9028_1. Democratic Pres. candidate,0.917993156075499
VCF9028_2. Republican Pres. candidate,-1.3131087946397417
VCF9028_3. Other Pres. candidate,0.0
VCF9028_8. DK,-0.1993228706211895
approve_pres_Missing,-0.004774559038872724
approve_pres_1. Approve,-0.9220109587272626
approve_pres_2. Disapprove,0.960657765323608
approve_pres_8. DK,0.03728259366344597
ideology7_Missing,0.04285729007987045
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,-0.29796017468367203
ideology7_3. Slightly liberal,0.0
"ideology7_4. Moderate, middle of the road",0.14126069025826554
ideology7_5. Slightly conservative,-0.04654370497025804
ideology7_6. Conservative,-0.8962104249124719
ideology7_7. Extremely conservative,0.07500565187031223
ideology7_9. DK; haven't thought much about it,0.2274021435435328
VCF0130_Missing,0.5316298659764892
VCF0130_1. Every week (Except 1970: almost every week),-0.3130479842954327
VCF0130_2. Almost every week (no cases in 1970),-0.3378497749704431
VCF0130_3. Once or twice a month,0.3908427318341184
VCF0130_4. A few times a year,-0.4899171313071456
VCF0130_5. Never (1990 and later: 'No' in filter),0.5040706891352912
VCF0130_7. No religious preference (1970-1988),0.0
Will_PresElectionClose_Missing,0.20342793673235127
Will_PresElectionClose_1. Will win by quite a bit,0.10403516173588334
Will_PresElectionClose_2. Close race,-0.03164389868707367
Will_PresElectionClose_9. DK; pro-con; depends; etc.,-0.09177667734246327
VCF9030b_Missing,0.0
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.28054317119695876
VCF9030c_Missing,0.0
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,0.06618002525607487
VCF9030a_Missing,-0.003159691338692942
"VCF9030a_1. Yes, contact by major party",0.09417366879190454
VCF9030a_2. No contact by major party,0.0
VCF9030_Missing,-0.003159691338692942
"VCF9030_1. Yes, contact: Democratic party",0.17433153070280533
"VCF9030_2. Yes, contact: Republican party",0.3625345421339085
"VCF9030_3. Yes, contact: both major parties",-0.5483346705282159
"VCF9030_4. Yes, contact: other",0.0
"VCF9030_5. Yes, contact: DK which party",0.0
VCF9030_7. No contact,0.0
VCF0720_Missing,0.0
VCF0720_1. No,0.09423438755743441
VCF0720_2. Yes,-0.09288741548836024
Family_income_Missing,-0.20718477751835468
Family_income_1. 0 to 16 percentile,-0.05005939735735911
Family_income_2. 17 to 33 percentile,0.1760905993837838
Family_income_3. 34 to 67 percentile,-0.02960879547725042
Family_income_4. 68 to 95 percentile,-0.2544917056566439
Family_income_5. 96 to 100 percentile,0.05095715796200635
Interest_elections_Missing,0.0
Interest_elections_1. Not much interested,0.008922438562257353
Interest_elections_2. Somewhat interested,0.0023109300712265703
Interest_elections_3. Very much interested,0.05133011251478396
Interest_elections_9. DK,0.0
VCF0721_Missing,0.0
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.039887328621061424
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.2579600302605826
VCF0719_Missing,0.0
VCF0719_1. No,0.03387907541322688
VCF0719_2. Yes,0.06406673532222748
VCF0718_Missing,0.0
VCF0718_1. No,0.026805493140776376
VCF0718_2. Yes,0.0
Party_id3_Missing,0.30286242593698953
Party_id3_1. Democrats (including leaners),1.0875341436648664
Party_id3_2. Independents,-0.0014755781783040846
Party_id3_3. Republicans (including leaners),-1.1486224262824436
Party_id7_Missing,0.30286242593698953
Party_id7_1. Strong Democrat,0.5757965898349645
Party_id7_2. Weak Democrat,0.147803806141646
Party_id7_3. Independent - Democrat,0.012335996618775056
Party_id7_4. Independent - Independent,-0.0014755781783040846
Party_id7_5. Independent - Republican,-0.3662761686125041
Party_id7_6. Weak Republican,0.19933586677203827
Party_id7_7. Strong Republican,-0.9479554317893953
education6_Missing,0.0
education6_1. 8 grades or less ('grade school'),0.11088345922083247
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.07616978075285394
"education6_3. 12 grades, diploma or equivalency",-0.09611031741018669
"education6_4. 12 grades, diploma or equivalency plus non-academic",0.0467245863597351
"education6_5. Some college, no degree; junior/community college",-0.04179054115181986
education6_6. BA level degrees; advanced degrees incl. LLB,-0.08395531826756257
education7_Missing,0.0
education7_1. 8 grades or less ('grade school'),0.11088345922083247
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.07616978075285394
"education7_3. 12 grades, diploma or equivalency",-0.09611031741018669
"education7_4. 12 grades, diploma or equivalency plus non-academic",0.0467245863597351
"education7_5. Some college, no degree; junior/community college",-0.04179054115181986
education7_6. BA level degrees,0.0
education7_7. Advanced degrees incl. LLB,-0.08538900136637947
VCF0717_Missing,0.0
VCF0717_1. No,0.0
VCF0717_2. Yes,0.12198011679950631
South_1. South,0.0
"region_3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC",0.0
Education4_Missing,0.0
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.11049258363156726
"Education4_2. High school (12 grades or fewer, incl. non-college",0.2727347061253828
Education4_3. Some college (13 grades or more but no degree;,-0.3351514033216835
Education4_4. College or advanced degree (no cases 1948),-0.08395531826756257
Race4_Missing,0.0
Race4_1. White non-Hispanic,-0.668522998953575
Race4_2. Black non-Hispanic,0.1043758684502339
Race4_3. Hispanic,0.04593847093750287
"Race4_4. Other or multiple races, non-Hispanic",0.0
Race3_Missing,0.0
Race3_1. White non-Hispanic,-0.668522998953575
Race3_2. Black non-Hispanic,0.1043758684502339
Race3_3. Other,0.0663781570846705
Race7_Missing,0.0
Race7_1. White non-Hispanic (1948-2012),-0.668522998953575
Race7_2. Black non-Hispanic (1948-2012),0.1043758684502339
"Race7_3. Asian or Pacific Islander, non-Hispanic (1966-2012)",0.0
Race7_4. American Indian or Alaska Native non-Hispanic (1966-2012),0.0
Race7_5. Hispanic (1966-2012),0.04593847093750287
"Race7_6. Other or multiple races, non-Hispanic (1968-2012)",0.0
religion_Missing,0.0
religion_1. Protestant,-0.6783044017327681
religion_2. Catholic [Roman Catholic],0.15321760172146756
religion_3. Jewish,0.013774270132201888
religion_4. Other and none (also includes DK preference),0.0
Gender_Missing,0.0
Gender_1. Male,0.1008164552532709
Gender_2. Female,0.01775776853034689
