feature,importance
Party_id3_1. Democrats (including leaners),1.0875697054743045
approve_pres_2. Disapprove,0.9605439352985943
VCF9028_1. Democratic Pres. candidate,0.9178851146843108
blackInfluence_Politics_3. Too little influence,0.5903894768024289
therm_DemParty,0.5796422205274957
Party_id7_1. Strong Democrat,0.575781772699463
VCF0130_5. Never (1990 and later: 'No' in filter),0.5040128106743726
VCF0130_3. Once or twice a month,0.3908481961456808
"VCF9030_2. Yes, contact: Republican party",0.36250006012533265
VCF9030b_2. No contact by Democratic party,0.2805671798318194
"Education4_2. High school (12 grades or fewer, incl. non-college",0.2725642483677576
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.2579389373623676
VCF0886_1.   Increased,0.25534392692753627
VCF0890_2.   Same,0.2504872249779872
"approve_pres_strength_1. Approve, strongly",0.24952590594314356
