feature,importance
therm_DemParty,1.2242181657270768
Party_id3_1. Democrats (including leaners),1.1943287599437316
Party_id7_1. Strong Democrat,0.9127896600054738
approve_pres_2. Disapprove,0.8636257522536953
VCF9028_1. Democratic Pres. candidate,0.7460166455766923
satisfactionLife_4. Slightly satisfied,0.6727814705549748
blackInfluence_Politics_3. Too little influence,0.6293419575902222
ideology7_3. Slightly liberal,0.5375878625570043
authoritarian1_2. Both (VOL),0.5171513316681676
authoritarian4_2. Both (VOL),0.4948199819808089
religion_3. Jewish,0.4827649297598602
living_withFamily_1. Yes,0.45067827074186784
Party_id7_3. Independent - Democrat,0.4264194801534459
votingMakedifference_5. Can make a big difference,0.4214499179495171
education6_1. 8 grades or less ('grade school'),0.4137473398204441
