feature,importance
Party_id7_7. Strong Republican,-1.2054327858083782
therm_RepParty,-1.042125697360141
"approve_pres_strength_3. Disapprove, not strongly",-0.7814107660355281
Party_id3_3. Republicans (including leaners),-0.6955814584081705
religion_1. Protestant,-0.666886306845877
ideology7_5. Slightly conservative,-0.6134187691057882
satisfactionDemocracy_4. Not at all satisfied,-0.5906559647788682
VCF9028_2. Republican Pres. candidate,-0.5844849978465941
"Race4_4. Other or multiple races, non-Hispanic",-0.5825853514811968
"Race7_6. Other or multiple races, non-Hispanic (1968-2012)",-0.5671037933001559
therm_conservatives,-0.5479985128147405
satisfactionLife_5. Not satisfied at all,-0.5374090554206481
Family_income_5. 96 to 100 percentile,-0.5022167141651362
"approve_pres_strength_4. Disapprove, strongly",-0.47191646917949426
education7_6. BA level degrees,-0.43312613349174683
