feature,importance
therm_Christians,0.0042878864632341284
therm_Mislims,0.3548776848549965
therm_ChrFundament,-0.28201003871878805
therm_hispanics,0.06545203276696604
therm_RepParty,-1.2168509759298185
therm_DemParty,1.3501078545109617
therm_Whites,0.18520197558358442
therm_liberals,1.0950422517347083
therm_conservatives,-0.5342851378549586
therm_Blacks,-0.004578748975661262
Age,-0.04199106956016617
howOftenTrust_Missing,-0.004839962863828238
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.0
howOftenTrust_3. About half the time,-0.17208323917540486
howOftenTrust_4. Once in a while,0.34935895714431486
howOftenTrust_5. Never,0.0
follow_political_info_Missing,-0.2847049700469052
follow_political_info_1. Always,-0.22251143647387833
follow_political_info_2. Most of the time,0.03609732087721851
follow_political_info_3. About half the time,0.09347745321978389
follow_political_info_4. Some of the time,0.17626698617693112
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,-0.030130267725887373
bisexalFamilyorFriends_1. Yes,0.6545005178127209
bisexalFamilyorFriends_2. No,-0.03304808420734667
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.3619650030288642
blackInfluence_Politics_3. Too little influence,0.4756366404555939
sex_orientation_Missing,-0.0100021099945519
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.26113405861648875
powerDifference_unmatched category,-1.013353133783952
powerDifference_unmatched category,0.27434178643530444
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.11933907631811813
votingMakedifference_unmatched category,0.08379774977735406
votingMakedifference_unmatched category,-0.011197983560865554
votingMakedifference_unmatched category,-0.4514286304456056
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,-0.2949784019691874
satisfactionLife_2. Very satisfied,0.42182637728677036
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.29192054898131775
living_withFamily_2. No,-0.24119781485188513
satisfactionDemocracy_Missing,0.3378064673761562
satisfactionDemocracy_1. Very satisfied,-0.7063898426625466
satisfactionDemocracy_2. Fairly satisfied,0.9325113821156853
satisfactionDemocracy_3. Not very satisfied,-0.13195116460517128
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.20010009748871543
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,-0.18291029627100971
workedWithcommunity_Missing,0.20010009748871543
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,-0.010742584288364939
have_healthInsurance_Missing,-0.1201737580341844
have_healthInsurance_1. Yes,0.2792541179309159
have_healthInsurance_2. No,-0.017081491711282558
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,-0.42864998491667594
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.16713105082529262
authoritarian4_Missing,0.0
authoritarian4_1. Independence,0.11316838880825078
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.07860061296967137
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,-0.00304738656581197
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.11678426680662116
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,-0.12370526672411712
authoritarian3_2. Both (VOL),0.09727545686019654
authoritarian3_3. Well behaved,0.0
VCF0886_Missing,0.0
VCF0886_1.   Increased,0.28803401341013657
VCF0886_2.   Same,-0.14942861397358093
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.011913483212838315
VCF0886_8.   DK,0.0
volunteer_Missing,-0.0062585631554581645
volunteer_1. Yes,0.0
volunteer_2. No,-0.015170613461691504
VCF0890_Missing,-0.07940611563202746
VCF0890_1.   Increased,0.2779588281550013
VCF0890_2.   Same,0.13572744166331316
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.42153177627756133
VCF0890_8.   DK,0.0
VCF9029_Missing,0.0
VCF9029_1. Close race,0.0
VCF9029_3. Win by quite a bit,-0.42349699050830747
VCF9029_8. DK; depends,0.34863965991960805
approve_president_economy_Missing,-0.4293730354219806
approve_president_economy_1. Approve strongly,0.0
approve_president_economy_2. Approve not strongly,0.30712685451484045
approve_president_economy_4. Disapprove not strongly,0.13872124564890428
approve_president_economy_5. Disapprove strongly,-0.20796439192153526
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,0.0
VCF9031_Missing,-0.040440852927812715
VCF9031_1. Yes,0.04677415435730844
VCF9031_5. No,0.001020730945952993
approve_pres_strength_Missing,-0.0005181588120810317
"approve_pres_strength_1. Approve, strongly",0.0
"approve_pres_strength_2. Approve, not strongly",0.6323861314069195
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",-0.3390996711920379
approve_pres_strength_8. DK,0.0
VCF9028_Missing,-0.09504243894518168
VCF9028_1. Democratic Pres. candidate,1.0055046807106431
VCF9028_2. Republican Pres. candidate,-0.5097603890640229
VCF9028_3. Other Pres. candidate,-0.017541711807167862
VCF9028_8. DK,0.12298734758805803
approve_pres_Missing,0.0938484722363407
approve_pres_1. Approve,-0.21287386410620773
approve_pres_2. Disapprove,-0.023506601229156855
approve_pres_8. DK,0.29305052972852325
ideology7_Missing,-0.08911924048712047
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.8045107241703693
ideology7_3. Slightly liberal,-0.16677462990357766
"ideology7_4. Moderate, middle of the road",-0.06673225722675928
ideology7_5. Slightly conservative,-0.06046032771503614
ideology7_6. Conservative,-0.36971537935460874
ideology7_7. Extremely conservative,0.0
ideology7_9. DK; haven't thought much about it,0.12612587524144617
VCF0130_Missing,-0.07335895284358959
VCF0130_1. Every week (Except 1970: almost every week),-0.03760040138612435
VCF0130_2. Almost every week (no cases in 1970),-0.0105715200649369
VCF0130_3. Once or twice a month,0.06454425961669694
VCF0130_4. A few times a year,-0.008762188946589793
VCF0130_5. Never (1990 and later: 'No' in filter),0.024243361076603753
VCF0130_7. No religious preference (1970-1988),0.0
Will_PresElectionClose_Missing,-0.4533737572906122
Will_PresElectionClose_1. Will win by quite a bit,-0.1959235601016345
Will_PresElectionClose_2. Close race,0.2369039709950173
Will_PresElectionClose_9. DK; pro-con; depends; etc.,0.31086351288634584
VCF9030b_Missing,0.0
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.0339826129754234
VCF9030c_Missing,0.0
"VCF9030c_1. Yes, contact by Republican party",0.11454813609065655
VCF9030c_2. No contact by Republican party,0.023492996726961195
VCF9030a_Missing,0.10038032245221773
"VCF9030a_1. Yes, contact by major party",-0.02679903247389507
VCF9030a_2. No contact by major party,-0.02919250069985293
VCF9030_Missing,0.04148340446877804
"VCF9030_1. Yes, contact: Democratic party",0.02405494656712381
"VCF9030_2. Yes, contact: Republican party",0.23061178286334222
"VCF9030_3. Yes, contact: both major parties",-0.179649603130203
"VCF9030_4. Yes, contact: other",0.0
"VCF9030_5. Yes, contact: DK which party",-0.16233295804478293
VCF9030_7. No contact,-0.029378907518385945
VCF0720_Missing,-0.014849505422581344
VCF0720_1. No,0.23777938585505654
VCF0720_2. Yes,-0.01652120639130415
Family_income_Missing,-0.4914114980808021
Family_income_1. 0 to 16 percentile,0.7490765863519995
Family_income_2. 17 to 33 percentile,-0.6323636723274223
Family_income_3. 34 to 67 percentile,0.038992599582789944
Family_income_4. 68 to 95 percentile,0.13357379790332083
Family_income_5. 96 to 100 percentile,0.0
Interest_elections_Missing,-0.19338748831119218
Interest_elections_1. Not much interested,0.12002743398978857
Interest_elections_2. Somewhat interested,-0.12131556965370198
Interest_elections_3. Very much interested,0.22936102092265714
VCF0721_Missing,0.0038621739243336886
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.029436196841506244
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.21443756483923107
VCF0719_Missing,0.0038621739243336886
VCF0719_1. No,0.01741633367520059
VCF0719_2. Yes,-0.08165661017520753
VCF0718_Missing,0.0038621739243336886
VCF0718_1. No,0.0
VCF0718_2. Yes,-0.03660295412323691
Party_id3_Missing,0.0
Party_id3_1. Democrats (including leaners),1.3342561107489397
Party_id3_2. Independents,0.0
Party_id3_3. Republicans (including leaners),-0.8217585797657421
Party_id7_Missing,0.0
Party_id7_1. Strong Democrat,0.10577695710726287
Party_id7_2. Weak Democrat,0.48158971039994414
Party_id7_3. Independent - Democrat,0.0
Party_id7_4. Independent - Independent,0.0
Party_id7_5. Independent - Republican,-0.28949949449862544
Party_id7_6. Weak Republican,0.3129612372486263
Party_id7_7. Strong Republican,-0.8402181017246051
education6_Missing,0.0
education6_1. 8 grades or less ('grade school'),0.0
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",-0.08695719676296965
"education6_3. 12 grades, diploma or equivalency",0.052774402099355466
"education6_4. 12 grades, diploma or equivalency plus non-academic",0.22917359109187857
"education6_5. Some college, no degree; junior/community college",-0.08907272700990913
education6_6. BA level degrees; advanced degrees incl. LLB,0.03156592033225374
education7_Missing,0.0
education7_1. 8 grades or less ('grade school'),0.0
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",-0.08695719676296965
"education7_3. 12 grades, diploma or equivalency",0.052774402099355466
"education7_4. 12 grades, diploma or equivalency plus non-academic",0.22917359109187857
"education7_5. Some college, no degree; junior/community college",-0.08907272700990913
education7_6. BA level degrees,0.037068663938952376
education7_7. Advanced degrees incl. LLB,-0.014678065802061078
VCF0717_Missing,0.0038621739243336886
VCF0717_1. No,-0.04755001382203502
VCF0717_2. Yes,-0.02095949237736468
South_2. Nonsouth,0.0
"region_4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,",0.0
Education4_Missing,0.0
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.0
"Education4_2. High school (12 grades or fewer, incl. non-college",0.0625737279738498
Education4_3. Some college (13 grades or more but no degree;,-0.09591696884448642
Education4_4. College or advanced degree (no cases 1948),0.03156592033225374
Race4_Missing,0.0
Race4_1. White non-Hispanic,-0.374090178025959
Race4_2. Black non-Hispanic,0.0
Race4_3. Hispanic,0.003716199595290711
"Race4_4. Other or multiple races, non-Hispanic",0.06227384999992634
Race3_Missing,0.0
Race3_1. White non-Hispanic,-0.374090178025959
Race3_2. Black non-Hispanic,0.0
Race3_3. Other,0.09918949823626651
Race7_Missing,0.0
Race7_1. White non-Hispanic (1948-2012),-0.374090178025959
Race7_2. Black non-Hispanic (1948-2012),0.0
"Race7_3. Asian or Pacific Islander, non-Hispanic (1966-2012)",0.05171633730065348
Race7_4. American Indian or Alaska Native non-Hispanic (1966-2012),0.0
Race7_5. Hispanic (1966-2012),0.003716199595290711
"Race7_6. Other or multiple races, non-Hispanic (1968-2012)",0.0
