feature,importance
therm_DemParty,1.3500653690858713
Party_id3_1. Democrats (including leaners),1.3343803696466048
therm_liberals,1.0950511036969084
VCF9028_1. Democratic Pres. candidate,1.0054512262453994
satisfactionDemocracy_2. Fairly satisfied,0.932472256143444
ideology7_2. Liberal,0.8041048710251285
Family_income_1. 0 to 16 percentile,0.7491828148576173
bisexalFamilyorFriends_1. Yes,0.6544888141718658
"approve_pres_strength_2. Approve, not strongly",0.6321760076363996
Party_id7_2. Weak Democrat,0.48154411556454324
blackInfluence_Politics_3. Too little influence,0.4758161680237928
satisfactionLife_2. Very satisfied,0.4219201224931065
therm_Mislims,0.35489970205945315
howOftenTrust_4. Once in a while,0.3493952359744695
Party_id7_6. Weak Republican,0.3126867877618795
