feature,importance
therm_RepParty,-1.2168844461022257
powerDifference_unmatched category,-1.0134437941654257
Party_id7_7. Strong Republican,-0.8402301619165753
Party_id3_3. Republicans (including leaners),-0.8217881565959659
satisfactionDemocracy_1. Very satisfied,-0.7065973563648336
Family_income_2. 17 to 33 percentile,-0.6321995685401985
therm_conservatives,-0.5342064325773059
VCF9028_2. Republican Pres. candidate,-0.5096457721135114
votingMakedifference_unmatched category,-0.4510614897267902
authoritarian2_1. Obedience,-0.42879218277856096
VCF9029_3. Win by quite a bit,-0.4234413354101284
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.42154310468825634
Race3_1. White non-Hispanic,-0.37392611538941295
Race7_1. White non-Hispanic (1948-2012),-0.37392611538941295
Race4_1. White non-Hispanic,-0.37392611538941295
