feature,importance
Party_id3_1. Democrats (including leaners),1.3949800347124097
therm_liberals,0.8788008606089749
VCF0890_1.   Increased,0.809856303127017
authoritarian2_1. Obedience,0.7154229516774742
VCF0886_2.   Same,0.6084364233920808
living_withFamily_1. Yes,0.5455820359640441
authoritarian4_1. Independence,0.540805726745806
VCF0130_2. Almost every week (no cases in 1970),0.5324949167646892
Interest_elections_1. Not much interested,0.5172410930633637
Party_id7_1. Strong Democrat,0.5071622830814045
therm_DemParty,0.47745014295388566
therm_Mislims,0.4609082491986026
VCF9028_1. Democratic Pres. candidate,0.4414744893456051
VCF0720_1. No,0.4217909314664638
"ideology7_4. Moderate, middle of the road",0.41773838408122826
