feature,importance
therm_Christians,0.0
therm_Mislims,0.0978546271223474
therm_ChrFundament,-0.024246373936107384
therm_hispanics,0.0
therm_RepParty,-0.012723204995588882
therm_DemParty,0.5521312101942819
therm_Whites,0.0
therm_liberals,0.4572344297881519
therm_conservatives,-0.7262224569525457
therm_Blacks,0.2152655402285108
Age,0.0
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,0.0
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.0
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,0.0
blackInfluence_Politics_3. Too little influence,2.937046913347117e-05
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.0024724153626156983
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.008514513444391397
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.02653139302066762
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.0
authoritarian4_Missing,0.0
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,0.0
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.0
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,0.0
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.0
VCF0886_Missing,0.0
VCF0886_1.   Increased,0.17820369815424697
VCF0886_2.   Same,0.0
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_Missing,0.0
volunteer_1. Yes,0.0
volunteer_2. No,0.02558246040746822
VCF0890_Missing,0.0
VCF0890_1.   Increased,0.2698349275184956
VCF0890_2.   Same,0.0
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_Missing,-0.009181427967527545
