feature,importance
therm_DemParty,0.5520731637344453
therm_liberals,0.45722661077405313
VCF0890_1.   Increased,0.26998769395276234
therm_Blacks,0.21521847347580617
VCF9029_3. Win by quite a bit,0.20158930654530005
VCF9028_1. Democratic Pres. candidate,0.19129357870386826
VCF0886_1.   Increased,0.178250327036848
therm_Mislims,0.09785979348317955
Interest_elections_2. Somewhat interested,0.0709722031308108
Race7_2. Black non-Hispanic (1948-2012),0.05128901714403063
Race3_2. Black non-Hispanic,0.05128901714403063
Race4_2. Black non-Hispanic,0.05128901714403063
education6_6. BA level degrees; advanced degrees incl. LLB,0.045925980712569016
Education4_4. College or advanced degree (no cases 1948),0.045925980712569016
meetingCommuntySchool_2. No,0.02655211041328373
