feature,importance
therm_DemParty,1.2318603968743378
therm_liberals,0.7062320470972441
VCF9028_1. Democratic Pres. candidate,0.4930469515836518
VCF0886_1.   Increased,0.28900225840401134
"approve_pres_strength_2. Approve, not strongly",0.28775782722878873
Party_id3_1. Democrats (including leaners),0.2566512505912115
approve_pres_1. Approve,0.21731882987349965
approve_president_economy_2. Approve not strongly,0.17743811491639483
sex_orientation_1. Heterosexual or straight,0.17533606898103954
blackInfluence_Politics_3. Too little influence,0.162977933299626
VCF0890_1.   Increased,0.13751001659939863
authoritarian4_1. Independence,0.11497422000122151
VCF9029_3. Win by quite a bit,0.0858230628709844
Race7_2. Black non-Hispanic (1948-2012),0.05329190573958067
Race4_2. Black non-Hispanic,0.05329190573958067
