feature,importance
therm_hispanics,-0.4699732021279531
VCF9028_2. Republican Pres. candidate,-0.36778357884407686
therm_RepParty,-0.33680848307350847
VCF9029_1. Close race,-0.3199179067753552
therm_Whites,-0.2316190403524599
Age,-0.11957289416259616
therm_ChrFundament,-0.09965602710730151
Party_id7_7. Strong Republican,-0.0737155692082119
Education4_3. Some college (13 grades or more but no degree;,-0.0647851366764364
powerDifference_5. It makes a big difference who is in power,-0.06400316126620426
satisfactionLife_3. Moderately satisfied,-0.02701813880109949
therm_conservatives,-0.020472841216093367
VCF0130_5. Never (1990 and later: 'No' in filter),-0.02023653742912859
follow_political_info_2. Most of the time,-0.0194827487064338
authoritarian4_3. Respect for elders,-0.012709899073826022
