feature,importance
therm_conservatives,-1.0185075338769465
therm_RepParty,-0.9605962768370141
VCF9028_2. Republican Pres. candidate,-0.8581289150010724
Party_id3_3. Republicans (including leaners),-0.678377268351926
Party_id7_2. Weak Democrat,-0.6095607776164226
Race7_1. White non-Hispanic (1948-2012),-0.5376643770993106
Race3_1. White non-Hispanic,-0.5376643770993106
Race4_1. White non-Hispanic,-0.5376643770993106
Party_id7_5. Independent - Republican,-0.5006251544908371
"approve_pres_strength_3. Disapprove, not strongly",-0.4722108419991926
VCF9031_5. No,-0.4405014807968988
Will_PresElectionClose_2. Close race,-0.3832389467954344
Will_PresElectionClose_1. Will win by quite a bit,-0.374987567611743
satisfactionDemocracy_4. Not at all satisfied,-0.37340066352906814
blackInfluence_Politics_1. Too much influence,-0.37177059139761287
