feature,importance
therm_RepParty,-0.8400361562683191
Party_id3_3. Republicans (including leaners),-0.0778708233189446
volunteer_1. Yes,-0.021119418832921705
VCF9028_2. Republican Pres. candidate,-0.007237745370088246
VCF9029_1. Close race,-0.007165792476011695
VCF0890_2.   Same,-0.0010289840767346214
VCF0130_4. A few times a year,-0.0007553427991752722
VCF9030a_2. No contact by major party,0.0
"VCF9030_1. Yes, contact: Democratic party",0.0
"VCF9030_2. Yes, contact: Republican party",0.0
"VCF9030_3. Yes, contact: both major parties",0.0
VCF9030_7. No contact,0.0
VCF0720_1. No,0.0
Family_income_1. 0 to 16 percentile,0.0
Family_income_2. 17 to 33 percentile,0.0
