feature,importance
therm_Christians,0.17364055502106446
therm_Mislims,0.1441549560913154
therm_ChrFundament,-0.30294388911862546
therm_hispanics,0.5203933454859252
therm_RepParty,-1.081579333026772
therm_DemParty,0.6311598370845688
therm_Whites,-0.10395427963329565
therm_liberals,0.26764162688120613
therm_conservatives,-0.6140083694661412
therm_Blacks,0.13488621194745146
Age,0.028360768136453284
howOftenTrust_2. Most of the time,0.0
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.1445050815970757
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.0
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.2258740442864371
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,0.0
blackInfluence_Politics_3. Too little influence,0.5190454995965204
sex_orientation_1. Heterosexual or straight,0.23350976031181028
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.14814809904296827
powerDifference_unmatched category,0.0012116480465525438
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.08655002525174343
votingMakedifference_5. Can make a big difference,-0.019429398953922476
satisfactionLife_1. Extremely satisfied,0.08305369695318063
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.27688834402701096
satisfactionLife_4. Slightly satisfied,-0.009646086491832476
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.013855511596659079
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.4108403875317852
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,-0.018846447655655286
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_1. Yes,-0.13489374826023123
have_healthInsurance_2. No,0.06026666590570886
authoritarian2_1. Obedience,0.07915126777207337
authoritarian2_2. Both (VOL),-0.12626462339252056
authoritarian2_3. Self-reliance,0.0
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
