feature,importance
Party_id3_1. Democrats (including leaners),1.7671333454968707
VCF0890_1.   Increased,0.9221809412223962
Party_id7_1. Strong Democrat,0.8290847209801344
VCF9028_1. Democratic Pres. candidate,0.6421258466725192
therm_DemParty,0.6311598370845688
therm_hispanics,0.5203933454859252
blackInfluence_Politics_3. Too little influence,0.5190454995965204
approve_pres_2. Disapprove,0.5115936112016071
authoritarian3_3. Well behaved,0.4639638592026619
satisfactionDemocracy_3. Not very satisfied,0.4108403875317852
"VCF9030a_1. Yes, contact by major party",0.37880505654162294
approve_president_economy_5. Disapprove strongly,0.35734350932292985
VCF9029_3. Win by quite a bit,0.30004381863831486
"ideology7_4. Moderate, middle of the road",0.28604160889804087
satisfactionLife_3. Moderately satisfied,0.27688834402701096
