feature,importance
Party_id3_3. Republicans (including leaners),-1.4252485726746114
Family_income_2. 17 to 33 percentile,-1.1512388984320476
therm_RepParty,-1.081579333026772
Party_id7_7. Strong Republican,-0.8498625203142334
therm_conservatives,-0.6140083694661412
VCF9028_2. Republican Pres. candidate,-0.5964666398649233
ideology7_3. Slightly liberal,-0.4973577721957148
Race7_1. White non-Hispanic (1948-2012),-0.47869728298656433
Race3_1. White non-Hispanic,-0.47869728298656433
Race4_1. White non-Hispanic,-0.47869728298656433
ideology7_6. Conservative,-0.39891563526184537
Party_id7_4. Independent - Independent,-0.374162433093174
Party_id3_2. Independents,-0.374162433093174
volunteer_1. Yes,-0.36200210035318053
VCF0718_1. No,-0.33772689960542773
