feature,importance
Party_id3_1. Democrats (including leaners),1.3901068953248212
ideology7_2. Liberal,1.1907164175725236
satisfactionLife_1. Extremely satisfied,1.0596165525813508
education7_7. Advanced degrees incl. LLB,1.0098288153678714
VCF9028_1. Democratic Pres. candidate,0.8813744174488619
approve_president_economy_1. Approve strongly,0.8752260042190263
authoritarian2_1. Obedience,0.7886563746895972
therm_DemParty,0.7223936715345829
"approve_pres_strength_2. Approve, not strongly",0.656615106539731
Party_id7_1. Strong Democrat,0.6154995561213943
powerDifference_unmatched category,0.5224261483436761
VCF9030_7. No contact,0.5053571871801039
therm_liberals,0.47562963931277646
religion_3. Jewish,0.4682228184031979
"VCF9030b_1. Yes, contact by Democratic party",0.45781115371622005
