feature,importance
therm_DemParty,1.6039703563828525
VCF9028_1. Democratic Pres. candidate,1.4133653181224923
satisfactionDemocracy_1. Very satisfied,1.1156153930507482
Party_id3_1. Democrats (including leaners),0.8933894553540433
howOftenTrust_2. Most of the time,0.7532146492330645
Party_id7_1. Strong Democrat,0.6591863665226082
VCF0886_1.   Increased,0.5676309858981057
bisexalFamilyorFriends_1. Yes,0.5066949751550509
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.48098373582493936
votingMakedifference_unmatched category,0.421238341060372
therm_liberals,0.4057668779949365
follow_political_info_2. Most of the time,0.38674694063988946
Race4_2. Black non-Hispanic,0.3776291411633331
Race3_2. Black non-Hispanic,0.3776291411633331
Race7_2. Black non-Hispanic (1948-2012),0.3776291411633331
