feature,importance
Party_id3_3. Republicans (including leaners),-1.3515018592419843
VCF0130_4. A few times a year,-0.8779547574706275
Party_id7_7. Strong Republican,-0.8148459072869085
therm_conservatives,-0.6891115617121779
therm_RepParty,-0.5116656715719169
therm_Christians,-0.4749822272254902
Party_id7_5. Independent - Republican,-0.47349629138060456
approve_president_economy_5. Disapprove strongly,-0.4702506111964209
Age,-0.4662894513458259
meetingCommuntySchool_1. Yes,-0.43378717091894614
authoritarian4_1. Independence,-0.40450018034709173
satisfactionLife_5. Not satisfied at all,-0.3860611991109081
Race7_1. White non-Hispanic (1948-2012),-0.36086479184597703
Race3_1. White non-Hispanic,-0.36086479184597703
Race4_1. White non-Hispanic,-0.36086479184597703
