feature,importance
therm_Christians,0.3126247093603469
therm_Mislims,0.11586018289875961
therm_ChrFundament,-0.22521028304448798
therm_hispanics,-0.05934083431220014
therm_RepParty,-1.387988601977638
therm_DemParty,0.8276993618602468
therm_Whites,0.007072064260286888
therm_liberals,0.7766819443766131
therm_conservatives,-0.843855780161937
therm_Blacks,-0.08284445441977532
Age,-0.2115230456523789
howOftenTrust_2. Most of the time,0.1369550606476037
howOftenTrust_3. About half the time,-0.24935233908921184
howOftenTrust_4. Once in a while,0.059007336254967645
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.07375959867367157
follow_political_info_2. Most of the time,-0.10853791506723623
follow_political_info_3. About half the time,-0.1484341742817835
follow_political_info_4. Some of the time,0.3397754425339211
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.024385312998678237
bisexalFamilyorFriends_2. No,0.029296943515831987
blackInfluence_Politics_1. Too much influence,-0.27471612537690915
blackInfluence_Politics_2. Just about the right amount,0.03160234821581932
blackInfluence_Politics_3. Too little influence,1.2195544944894017
sex_orientation_1. Heterosexual or straight,-0.1832302506132443
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.4069068599089616
powerDifference_1. It doesn't make a difference who is in power,-0.23248844917602338
powerDifference_unmatched category,0.07462713541766873
powerDifference_unmatched category,0.5843727829166883
powerDifference_unmatched category,0.03366917392508658
powerDifference_5. It makes a big difference who is in power,-0.11391063667989831
votingMakedifference_1. Won't make a difference,0.18371536975917557
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.261371178304955
votingMakedifference_unmatched category,-0.26302507347530757
votingMakedifference_5. Can make a big difference,-0.007299111423943769
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.2202843481521728
satisfactionLife_3. Moderately satisfied,0.3314425428972324
satisfactionLife_4. Slightly satisfied,0.3201387988602257
satisfactionLife_5. Not satisfied at all,-0.01006088443941804
living_withFamily_1. Yes,0.14402560825368976
living_withFamily_2. No,0.033057052948636464
satisfactionDemocracy_1. Very satisfied,0.031471406810514496
satisfactionDemocracy_2. Fairly satisfied,-0.05645077783511582
satisfactionDemocracy_3. Not very satisfied,-0.04630873984560209
satisfactionDemocracy_4. Not at all satisfied,0.10907867595125924
meetingCommuntySchool_1. Yes,-0.2082292518248617
meetingCommuntySchool_2. No,0.0164926515244
workedWithcommunity_1. Yes,-0.36215732753086444
workedWithcommunity_2. No,0.07235268214733474
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_1. Obedience,-0.16830893189613683
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,-0.12431614384985956
authoritarian4_1. Independence,-0.0030278880606848025
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.024941837558392337
authoritarian1_1. Curiosity,-0.08995702081812357
authoritarian1_2. Both (VOL),0.1335238002812647
authoritarian1_3. Good manners,-0.08619112287049356
authoritarian3_1. Being considerate,-0.14715713484183965
authoritarian3_2. Both (VOL),0.08032137134111828
authoritarian3_3. Well behaved,-0.2767625876150249
VCF0886_1.   Increased,0.8028263403605533
VCF0886_2.   Same,0.06952001401948878
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.6957146111495754
volunteer_1. Yes,0.8268510625985199
volunteer_2. No,-0.07413118624495534
VCF0890_1.   Increased,0.25404507716456454
VCF0890_2.   Same,0.16368471727962797
VCF0890_3.   Decreased (before 2012: or cut out entirely),-1.047456550210392
VCF9029_1. Close race,-0.07589227886495918
VCF9029_3. Win by quite a bit,0.19613450373041044
approve_president_economy_1. Approve strongly,0.4183667362538608
approve_president_economy_2. Approve not strongly,0.14770468852786292
approve_president_economy_4. Disapprove not strongly,-0.3694968685244982
approve_president_economy_5. Disapprove strongly,0.04734862865808583
VCF9031_1. Yes,-0.4004852364216925
VCF9031_5. No,0.08792067446120522
"approve_pres_strength_1. Approve, strongly",0.08373907278045781
"approve_pres_strength_2. Approve, not strongly",0.15037851382934275
"approve_pres_strength_3. Disapprove, not strongly",0.0058777740446045
"approve_pres_strength_4. Disapprove, strongly",-0.16841069943425316
VCF9028_1. Democratic Pres. candidate,0.463995692527837
VCF9028_2. Republican Pres. candidate,-1.0525467439683205
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.4522404009064509
approve_pres_2. Disapprove,0.34447038339314534
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.602678469524416
ideology7_3. Slightly liberal,0.1345894280475764
"ideology7_4. Moderate, middle of the road",-0.14473726389427047
ideology7_5. Slightly conservative,0.3492975164313339
ideology7_6. Conservative,-0.32492931603127584
ideology7_7. Extremely conservative,0.0
VCF0130_1. Every week (Except 1970: almost every week),0.004551521531164349
VCF0130_2. Almost every week (no cases in 1970),0.10258459260733613
VCF0130_3. Once or twice a month,0.020973706054317635
VCF0130_4. A few times a year,-0.33983336934663944
VCF0130_5. Never (1990 and later: 'No' in filter),-0.054382146019821484
VCF0130_7. No religious preference (1970-1988),0.0
Will_PresElectionClose_1. Will win by quite a bit,0.2850284894811668
Will_PresElectionClose_2. Close race,-0.1599059931984515
"VCF9030b_1. Yes, contact by Democratic party",0.03638274437720905
VCF9030b_2. No contact by Democratic party,0.02447608065301858
"VCF9030c_1. Yes, contact by Republican party",0.0052458396935778275
VCF9030c_2. No contact by Republican party,0.03169735747648083
"VCF9030a_1. Yes, contact by major party",0.06233096008966872
VCF9030a_2. No contact by major party,0.04694412970728632
"VCF9030_1. Yes, contact: Democratic party",0.021966386440969068
"VCF9030_2. Yes, contact: Republican party",-0.06185494885140229
"VCF9030_3. Yes, contact: both major parties",0.16716140567294616
"VCF9030_4. Yes, contact: other",0.0
VCF9030_7. No contact,0.0
VCF0720_1. No,0.1077486684804371
VCF0720_2. Yes,0.018602221843453566
Family_income_1. 0 to 16 percentile,-0.1785451760440348
Family_income_2. 17 to 33 percentile,0.1505772217776957
Family_income_3. 34 to 67 percentile,0.1091895634467532
Family_income_4. 68 to 95 percentile,-0.10131345538142522
Family_income_5. 96 to 100 percentile,-0.1884003797218458
Interest_elections_1. Not much interested,-0.756718367564557
Interest_elections_2. Somewhat interested,0.38577450005104397
Interest_elections_3. Very much interested,0.16745093007782832
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.05053086881288645
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.039546863001387274
VCF0719_1. No,-0.04806994245510846
VCF0719_2. Yes,-0.010758657011400965
VCF0718_1. No,0.043900727296064604
VCF0718_2. Yes,-0.3476016356135519
Party_id3_1. Democrats (including leaners),0.6971230299793726
