feature,importance
blackInfluence_Politics_3. Too little influence,1.2196216722846598
religion_3. Jewish,1.1993017760277929
therm_DemParty,0.8276736904593156
volunteer_1. Yes,0.8269678064014668
VCF0886_1.   Increased,0.8027928785961184
therm_liberals,0.7766809748814449
Party_id3_1. Democrats (including leaners),0.6972770872281097
ideology7_2. Liberal,0.6027401359047064
powerDifference_unmatched category,0.5843884270801566
Party_id7_1. Strong Democrat,0.5612651638163181
VCF9028_1. Democratic Pres. candidate,0.4640388339045224
approve_president_economy_1. Approve strongly,0.41836415184066933
sex_orientation_3. Homosexual or gay (or lesbian),0.40692283096862764
Interest_elections_2. Somewhat interested,0.38568951298467324
ideology7_5. Slightly conservative,0.34936910501755675
