feature,importance
therm_Christians,-0.8041750476934304
therm_Mislims,0.12375854919454901
therm_ChrFundament,-0.2756079952677366
therm_hispanics,-0.025727892419159164
therm_RepParty,-0.7419918521718952
therm_DemParty,0.23203529537868534
therm_Whites,-0.30763824639247594
therm_liberals,-0.07122613385458912
therm_conservatives,-0.23631722274171052
therm_Blacks,0.43854909546025594
Age,-0.008261365750080813
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.03553420888434836
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.4462567015405363
follow_political_info_3. About half the time,-0.2051266871401114
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,-0.03978262284559814
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,0.0
blackInfluence_Politics_3. Too little influence,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,-0.028373037672039313
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,-0.03701749994798202
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.04695673018974268
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,-0.10975206976663968
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.011924429871986072
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,-0.05399956283576821
meetingCommuntySchool_1. Yes,-0.016919423193763265
meetingCommuntySchool_2. No,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_1. Obedience,0.0
authoritarian2_3. Self-reliance,0.0
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_1. Curiosity,0.0
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.0
authoritarian3_1. Being considerate,-0.02420235216604081
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.0
VCF0886_1.   Increased,-0.03640402312803827
VCF0886_2.   Same,0.05775970879386068
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
