feature,importance
Party_id3_3. Republicans (including leaners),-1.4294032476403529
Party_id7_7. Strong Republican,-1.3283725439892704
therm_RepParty,-1.1610382350831745
VCF9028_2. Republican Pres. candidate,-0.7997928002502603
votingMakedifference_unmatched category,-0.798577112881896
meetingCommuntySchool_1. Yes,-0.7150420729607744
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.6401050280882704
powerDifference_unmatched category,-0.630054526792003
bisexalFamilyorFriends_2. No,-0.5334762454990407
blackInfluence_Politics_1. Too much influence,-0.5275102192310683
satisfactionDemocracy_3. Not very satisfied,-0.5262149440321024
approve_president_economy_2. Approve not strongly,-0.5208298678645941
ideology7_5. Slightly conservative,-0.5189901211123414
Education4_3. Some college (13 grades or more but no degree;,-0.5032637089552936
authoritarian2_2. Both (VOL),-0.4915299355935664
