feature,importance
Party_id3_1. Democrats (including leaners),1.733580297787384
VCF0886_1.   Increased,1.2359064796147965
satisfactionLife_2. Very satisfied,1.0737382802234434
therm_DemParty,0.9957338620878395
approve_pres_2. Disapprove,0.9590579404132453
Family_income_2. 17 to 33 percentile,0.7949701248540892
Party_id7_1. Strong Democrat,0.7657483042769677
approve_president_economy_2. Approve not strongly,0.5931988774348635
"education6_3. 12 grades, diploma or equivalency",0.4806502638292594
"education7_3. 12 grades, diploma or equivalency",0.4806502638292594
volunteer_2. No,0.45784028803534793
Will_PresElectionClose_2. Close race,0.4341598183871184
votingMakedifference_5. Can make a big difference,0.3632521850714873
therm_liberals,0.36245305188386256
therm_Mislims,0.3378451040146465
