feature,importance
therm_RepParty,-1.8097134538791082
Party_id7_7. Strong Republican,-1.26430587305974
Party_id3_3. Republicans (including leaners),-1.0470634129940666
blackInfluence_Politics_2. Just about the right amount,-0.9838095148092314
approve_pres_1. Approve,-0.8457714160328413
authoritarian2_1. Obedience,-0.5588591517209949
authoritarian4_3. Respect for elders,-0.5092913526600309
"approve_pres_strength_4. Disapprove, strongly",-0.5011778786181378
therm_conservatives,-0.4964253544546769
satisfactionLife_1. Extremely satisfied,-0.45933796875866195
satisfactionLife_3. Moderately satisfied,-0.4454392973357589
Race7_5. Hispanic (1966-2012),-0.4163897604046671
Race4_3. Hispanic,-0.4163897604046671
powerDifference_unmatched category,-0.4142363497145888
votingMakedifference_unmatched category,-0.3848953962639423
