feature,importance
Party_id3_1. Democrats (including leaners),1.8664880966521487
Party_id7_1. Strong Democrat,1.4483758856696332
VCF9028_1. Democratic Pres. candidate,1.0209868881168715
approve_president_economy_2. Approve not strongly,0.957900401140242
"approve_pres_strength_1. Approve, strongly",0.8503504723395142
therm_DemParty,0.7714314401735848
therm_liberals,0.6801884758786793
powerDifference_unmatched category,0.6014334797960824
VCF0886_1.   Increased,0.6001871888679344
Race7_2. Black non-Hispanic (1948-2012),0.5668354790026173
Race3_2. Black non-Hispanic,0.5668354790026173
Race4_2. Black non-Hispanic,0.5668354790026173
volunteer_1. Yes,0.47935339044629943
Age,0.4687127792937532
Party_id7_3. Independent - Democrat,0.444360244772795
