feature,importance
therm_Christians,-0.004746141291802402
therm_Mislims,0.09022969188058448
therm_ChrFundament,-0.011220678520838303
therm_hispanics,0.0
therm_RepParty,-0.9738997750040388
therm_DemParty,0.7825977979107233
therm_Whites,-0.2727776320215776
therm_liberals,0.3902452607575116
therm_conservatives,-0.5465452733612178
therm_Blacks,0.46391990782447035
Age,-0.22755197833486993
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.29944000670755094
howOftenTrust_3. About half the time,0.0058079332793843
howOftenTrust_4. Once in a while,0.0588736927326282
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.05268066721992509
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.17993319445837413
bisexalFamilyorFriends_2. No,-0.10225527523166
blackInfluence_Politics_1. Too much influence,-0.02385429065615927
blackInfluence_Politics_2. Just about the right amount,-0.21611885313362067
blackInfluence_Politics_3. Too little influence,1.225100254618058
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,-0.09510366343937826
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.014759845793390226
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,-0.019540500318390133
satisfactionLife_1. Extremely satisfied,0.013122790426717258
satisfactionLife_2. Very satisfied,-0.005828722457239175
satisfactionLife_3. Moderately satisfied,-0.12453515437781318
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.11591711629225246
living_withFamily_1. Yes,0.25888415988370916
living_withFamily_2. No,-0.17363520284235806
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,-0.04262185172633205
satisfactionDemocracy_3. Not very satisfied,0.007659713271690688
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_1. Yes,0.07690663304241335
workedWithcommunity_2. No,0.0
have_healthInsurance_1. Yes,-0.04204955103426492
have_healthInsurance_2. No,0.12647332145648577
authoritarian2_1. Obedience,-0.03522990510987265
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.09058316942785243
authoritarian4_1. Independence,0.030243993503250615
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_1. Curiosity,0.24972554354452936
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.1885582079767179
authoritarian3_1. Being considerate,-0.012954142005586877
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.009145033843705632
VCF0886_1.   Increased,0.12835149303444993
VCF0886_2.   Same,0.019506017936630253
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
volunteer_1. Yes,0.0
volunteer_2. No,0.0017416402036182568
VCF0890_1.   Increased,0.2911068667080897
VCF0890_2.   Same,-0.026273242881947878
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_1. Close race,-0.05870600872171759
VCF9029_3. Win by quite a bit,-0.1274389770387782
approve_president_economy_1. Approve strongly,0.1333367566565928
approve_president_economy_2. Approve not strongly,0.0
approve_president_economy_4. Disapprove not strongly,0.0
approve_president_economy_5. Disapprove strongly,0.020237666803841793
VCF9031_1. Yes,0.0
VCF9031_5. No,0.16491911721661034
"approve_pres_strength_1. Approve, strongly",0.0
"approve_pres_strength_2. Approve, not strongly",0.0
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",0.4797335100126177
VCF9028_1. Democratic Pres. candidate,0.18654522361942574
VCF9028_2. Republican Pres. candidate,-0.7198042348045406
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.8171863015236014
approve_pres_2. Disapprove,0.4204686393105411
ideology7_1. Extremely liberal,0.2058757490345371
ideology7_2. Liberal,0.0
ideology7_3. Slightly liberal,0.14908530897855776
"ideology7_4. Moderate, middle of the road",-0.14265584421919747
ideology7_5. Slightly conservative,-0.6468437516598021
ideology7_6. Conservative,-0.07469938569013881
ideology7_7. Extremely conservative,0.0
VCF0130_1. Every week (Except 1970: almost every week),0.2562706043687238
VCF0130_2. Almost every week (no cases in 1970),-0.46567557378626845
VCF0130_3. Once or twice a month,-0.2195190083231359
VCF0130_4. A few times a year,-0.04377089368478249
VCF0130_5. Never (1990 and later: 'No' in filter),0.2774282268010042
Will_PresElectionClose_1. Will win by quite a bit,-0.10039708660604654
Will_PresElectionClose_2. Close race,0.366743153907774
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.11976452048049033
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,0.0
"VCF9030a_1. Yes, contact by major party",0.018879125107855232
VCF9030a_2. No contact by major party,0.0
"VCF9030_1. Yes, contact: Democratic party",0.0
"VCF9030_2. Yes, contact: Republican party",0.17357290708237297
"VCF9030_3. Yes, contact: both major parties",0.0
"VCF9030_4. Yes, contact: other",0.0
VCF9030_7. No contact,0.0
VCF0720_1. No,-0.10437184486101496
VCF0720_2. Yes,0.06503464564823203
Family_income_1. 0 to 16 percentile,-0.08809115686796362
Family_income_2. 17 to 33 percentile,0.04521728414929408
Family_income_3. 34 to 67 percentile,0.08584988037552518
Family_income_4. 68 to 95 percentile,-0.0002698657416805507
Family_income_5. 96 to 100 percentile,0.0
Interest_elections_1. Not much interested,-0.06424533364589997
Interest_elections_2. Somewhat interested,0.22894127178112136
Interest_elections_3. Very much interested,0.0
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.06110711246968896
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.07744879278014509
VCF0719_1. No,0.0
VCF0719_2. Yes,0.0
VCF0718_1. No,0.0
VCF0718_2. Yes,0.0
Party_id3_1. Democrats (including leaners),0.6568607852807875
Party_id3_2. Independents,0.0
Party_id3_3. Republicans (including leaners),-0.43190570908343184
Party_id7_1. Strong Democrat,0.8262983381568463
Party_id7_2. Weak Democrat,0.0
Party_id7_3. Independent - Democrat,-0.004933396682243422
Party_id7_4. Independent - Independent,0.0
Party_id7_5. Independent - Republican,0.0
Party_id7_6. Weak Republican,-0.04703739942807793
Party_id7_7. Strong Republican,-0.015100457194426927
