feature,importance
therm_Christians,-0.004965867831337384
therm_Mislims,0.0903162281740136
therm_ChrFundament,-0.011232536398010837
therm_hispanics,0.0
therm_RepParty,-0.974112778396564
therm_DemParty,0.7824269669818987
therm_Whites,-0.2726917570188938
therm_liberals,0.39039191073001367
therm_conservatives,-0.5467010414788781
therm_Blacks,0.46385375942581125
Age,-0.22741737340505264
howOftenTrust_Missing,0.0
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.2996170073660779
howOftenTrust_3. About half the time,0.005948623934693661
howOftenTrust_4. Once in a while,0.058900516859310234
howOftenTrust_5. Never,0.0
follow_political_info_Missing,-0.26561990664263646
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.05279310994421902
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,0.17987192021748616
bisexalFamilyorFriends_2. No,-0.10265869898601446
blackInfluence_Politics_Missing,-0.00794463908052564
blackInfluence_Politics_1. Too much influence,-0.0236389099914263
blackInfluence_Politics_2. Just about the right amount,-0.21629549365588216
blackInfluence_Politics_3. Too little influence,1.224607681604424
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,-0.09513381615493641
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.014609222218235499
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,-0.01952977846608046
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.013250391216968294
satisfactionLife_2. Very satisfied,-0.005923016712774615
satisfactionLife_3. Moderately satisfied,-0.12456991781880658
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.11604553442508439
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.25866232904264364
living_withFamily_2. No,-0.17348103768902043
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,-0.04253752386689588
satisfactionDemocracy_3. Not very satisfied,0.007588999282709234
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.07688925997089574
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,-0.0422895276028363
have_healthInsurance_2. No,0.1263107437223578
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,-0.03523464946749235
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.09043527591988385
authoritarian4_Missing,0.0
authoritarian4_1. Independence,0.03024691940725615
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,0.24969494936459316
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.1886481742869407
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,-0.013000171485132394
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.009067430919893597
VCF0886_Missing,0.0
VCF0886_1.   Increased,0.12854178219090756
VCF0886_2.   Same,0.019617776521356895
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0886_8.   DK,0.0
volunteer_Missing,0.0
volunteer_1. Yes,0.0
volunteer_2. No,0.0017503782701394628
VCF0890_Missing,0.0
VCF0890_1.   Increased,0.2918594609389788
VCF0890_2.   Same,-0.026305272130262188
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_Missing,0.30218469028536027
VCF9029_1. Close race,-0.05870976649793012
VCF9029_3. Win by quite a bit,-0.12746424240684598
VCF9029_8. DK; depends,0.0
approve_president_economy_Missing,0.0
approve_president_economy_1. Approve strongly,0.1331246312210202
approve_president_economy_2. Approve not strongly,0.0
approve_president_economy_4. Disapprove not strongly,0.0
approve_president_economy_5. Disapprove strongly,0.020247008760430743
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,0.0
VCF9031_Missing,-0.016877782116092144
VCF9031_1. Yes,0.0
VCF9031_5. No,0.16430273457615638
approve_pres_strength_Missing,-0.028165854588637636
"approve_pres_strength_1. Approve, strongly",0.0
"approve_pres_strength_2. Approve, not strongly",0.0
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",0.47897072300508753
approve_pres_strength_8. DK,0.0
VCF9028_Missing,0.1559686901213982
VCF9028_1. Democratic Pres. candidate,0.18630879627781882
VCF9028_2. Republican Pres. candidate,-0.7203758464864382
VCF9028_3. Other Pres. candidate,0.0
VCF9028_8. DK,0.0
approve_pres_Missing,0.0
approve_pres_1. Approve,-0.8169019742278237
approve_pres_2. Disapprove,0.4208439534580613
approve_pres_8. DK,0.0
ideology7_Missing,0.0459490544974129
ideology7_1. Extremely liberal,0.20642355974961166
ideology7_2. Liberal,0.0
ideology7_3. Slightly liberal,0.1485807813804199
"ideology7_4. Moderate, middle of the road",-0.14286202772994971
ideology7_5. Slightly conservative,-0.6468485026960246
ideology7_6. Conservative,-0.07474050443846773
ideology7_7. Extremely conservative,0.0
ideology7_9. DK; haven't thought much about it,0.07101137642793179
VCF0130_Missing,0.08031464233904573
VCF0130_1. Every week (Except 1970: almost every week),0.2560764411145281
VCF0130_2. Almost every week (no cases in 1970),-0.4658084720187766
VCF0130_3. Once or twice a month,-0.21987583166815922
VCF0130_4. A few times a year,-0.043590356733080725
VCF0130_5. Never (1990 and later: 'No' in filter),0.2773049705188714
Will_PresElectionClose_Missing,-0.02956399416923127
Will_PresElectionClose_1. Will win by quite a bit,-0.1003603263908959
Will_PresElectionClose_2. Close race,0.3665214385232298
Will_PresElectionClose_9. DK; pro-con; depends; etc.,-0.0032036624282534946
VCF9030b_Missing,-0.020611996298102193
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.11964379636849101
VCF9030c_Missing,-0.020611996298102193
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,0.0
VCF9030a_Missing,-0.005358433493942144
"VCF9030a_1. Yes, contact by major party",0.018797935814325723
VCF9030a_2. No contact by major party,0.0
VCF9030_Missing,-0.005358433493942144
"VCF9030_1. Yes, contact: Democratic party",0.0
"VCF9030_2. Yes, contact: Republican party",0.17353235862093788
"VCF9030_3. Yes, contact: both major parties",0.0
"VCF9030_4. Yes, contact: other",0.0
"VCF9030_5. Yes, contact: DK which party",0.0
"VCF9030_6. Yes, contact: NA which party",0.0
VCF9030_7. No contact,0.0
VCF0720_Missing,0.0
VCF0720_1. No,-0.10456300742522795
VCF0720_2. Yes,0.06467667930712342
Family_income_Missing,-0.1823019693963678
Family_income_1. 0 to 16 percentile,-0.08826035439442279
Family_income_2. 17 to 33 percentile,0.04491562582799992
Family_income_3. 34 to 67 percentile,0.08560715996074372
Family_income_4. 68 to 95 percentile,-0.00020250984081821203
Family_income_5. 96 to 100 percentile,0.0
Interest_elections_Missing,0.0
Interest_elections_1. Not much interested,-0.06422822574011688
Interest_elections_2. Somewhat interested,0.2287907502830234
Interest_elections_3. Very much interested,0.0
VCF0721_Missing,0.0
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.06099268086195479
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.07768650735639483
VCF0719_Missing,0.0
VCF0719_1. No,0.0
VCF0719_2. Yes,0.0
VCF0718_Missing,0.0
VCF0718_1. No,0.0
VCF0718_2. Yes,0.0
Party_id3_Missing,0.0
Party_id3_1. Democrats (including leaners),0.6565589778383755
Party_id3_2. Independents,0.0
Party_id3_3. Republicans (including leaners),-0.4321278749657013
Party_id7_Missing,0.0
Party_id7_1. Strong Democrat,0.8261380008363179
Party_id7_2. Weak Democrat,0.0
Party_id7_3. Independent - Democrat,-0.004900870220322558
Party_id7_4. Independent - Independent,0.0
Party_id7_5. Independent - Republican,0.0
Party_id7_6. Weak Republican,-0.046894992401646914
Party_id7_7. Strong Republican,-0.01496177317074444
education6_Missing,0.0
