feature,importance
therm_RepParty,-0.974112778396564
approve_pres_1. Approve,-0.8169019742278237
VCF9028_2. Republican Pres. candidate,-0.7203758464864382
ideology7_5. Slightly conservative,-0.6468485026960246
therm_conservatives,-0.5467010414788781
"education6_4. 12 grades, diploma or equivalency plus non-academic",-0.5053842071509753
"education7_4. 12 grades, diploma or equivalency plus non-academic",-0.5053842071509753
VCF0130_2. Almost every week (no cases in 1970),-0.4658084720187766
Party_id3_3. Republicans (including leaners),-0.4321278749657013
howOftenTrust_2. Most of the time,-0.2996170073660779
therm_Whites,-0.2726917570188938
Age,-0.22741737340505264
VCF0130_3. Once or twice a month,-0.21987583166815922
blackInfluence_Politics_2. Just about the right amount,-0.21629549365588216
Gender_2. Female,-0.20269170787207394
