feature,importance
therm_RepParty,-0.9159285177781861
approve_president_economy_5. Disapprove strongly,-0.3057826822434287
VCF9029_1. Close race,-0.22723379976254282
bisexalFamilyorFriends_2. No,-0.1396374647782107
howOftenTrust_3. About half the time,-0.1368558721344207
therm_conservatives,-0.13462228747455188
Party_id3_3. Republicans (including leaners),-0.13227858855507427
therm_ChrFundament,-0.11737126587799813
blackInfluence_Politics_2. Just about the right amount,-0.11358568184059754
satisfactionDemocracy_2. Fairly satisfied,-0.1092598287499071
Gender_2. Female,-0.07681098758554501
votingMakedifference_unmatched category,-0.061479297183532844
ideology7_5. Slightly conservative,-0.06087456795117663
sex_orientation_1. Heterosexual or straight,-0.055011537253638075
Age,-0.04575463979312136
