feature,importance
Party_id3_3. Republicans (including leaners),-1.2168412742644619
therm_RepParty,-1.161735225493214
votingMakedifference_unmatched category,-1.0712571764796093
VCF0719_2. Yes,-0.8714930078429391
"approve_pres_strength_3. Disapprove, not strongly",-0.8029193479120158
blackInfluence_Politics_1. Too much influence,-0.7779662177126392
VCF0718_1. No,-0.7291167692764754
Party_id7_7. Strong Republican,-0.7141182650909855
votingMakedifference_unmatched category,-0.661733862640358
follow_political_info_4. Some of the time,-0.5880208025467973
VCF9028_2. Republican Pres. candidate,-0.5740486556571107
therm_conservatives,-0.5253241696595948
VCF0130_2. Almost every week (no cases in 1970),-0.47656207369393877
"ideology7_4. Moderate, middle of the road",-0.4638360677718123
ideology7_2. Liberal,-0.4392260777996345
