feature,importance
therm_RepParty,-1.131166323274217
VCF9029_3. Win by quite a bit,-0.8618467013895929
Party_id3_3. Republicans (including leaners),-0.853866333420575
therm_Christians,-0.6154660549429645
Party_id7_7. Strong Republican,-0.5283411439483071
VCF9028_2. Republican Pres. candidate,-0.3718379070645648
"VCF9030_2. Yes, contact: Republican party",-0.27246078782805
therm_conservatives,-0.26719923082029473
Family_income_1. 0 to 16 percentile,-0.26417905694436206
Will_PresElectionClose_2. Close race,-0.26257815038328747
therm_Blacks,-0.253383982410916
ideology7_5. Slightly conservative,-0.2510192661081293
VCF0130_1. Every week (Except 1970: almost every week),-0.2417026046792449
VCF0130_2. Almost every week (no cases in 1970),-0.23804524651718814
"approve_pres_strength_4. Disapprove, strongly",-0.21055876512896457
