feature,importance
therm_Christians,-0.013097111723020699
therm_Mislims,0.3027169859350253
therm_ChrFundament,-0.12915835516701601
therm_hispanics,0.539777173810225
therm_RepParty,-1.2238942442547442
therm_DemParty,0.6153699468967722
therm_Whites,-0.1383447496305507
therm_liberals,0.4904718490879566
therm_conservatives,-0.5434486829610636
therm_Blacks,-0.47052022937746535
Age,-0.1667750347101776
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.06336852862945128
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.03719528895646906
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.0
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
bisexalFamilyorFriends_1. Yes,0.47140300755813724
bisexalFamilyorFriends_2. No,-0.20587438222884424
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,0.02065134351658463
blackInfluence_Politics_3. Too little influence,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,-0.12446388079389595
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,0.04007117312240083
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0010079611670674971
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0
satisfactionDemocracy_1. Very satisfied,-0.014643421398645473
satisfactionDemocracy_2. Fairly satisfied,0.42250895284934825
satisfactionDemocracy_3. Not very satisfied,-0.1485279670886027
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,-0.22601335639293954
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,-0.005129606378134443
have_healthInsurance_1. Yes,0.06665138323086467
have_healthInsurance_2. No,0.0
authoritarian2_1. Obedience,0.03930542857170728
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.0
authoritarian4_1. Independence,0.0982973425432728
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.059473496720153216
authoritarian1_1. Curiosity,-0.007973870910403236
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.04703744664953631
authoritarian3_1. Being considerate,0.0007545827407395946
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.056164616332644544
VCF0886_1.   Increased,0.1829747706465499
VCF0886_2.   Same,0.08170283945507477
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.019171586660531283
volunteer_1. Yes,0.0
volunteer_2. No,0.14387246009505622
VCF0890_1.   Increased,0.41864617953120103
VCF0890_2.   Same,-0.05697936246556148
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.013416472175945568
VCF9029_1. Close race,0.12044390850294702
VCF9029_3. Win by quite a bit,0.0
approve_president_economy_1. Approve strongly,-0.01418581613827306
approve_president_economy_2. Approve not strongly,0.0
approve_president_economy_4. Disapprove not strongly,0.0
approve_president_economy_5. Disapprove strongly,0.07969775634838681
VCF9031_1. Yes,0.0
VCF9031_5. No,0.0
"approve_pres_strength_1. Approve, strongly",-0.09606324802128738
"approve_pres_strength_2. Approve, not strongly",0.0
"approve_pres_strength_3. Disapprove, not strongly",-0.00799190285211184
"approve_pres_strength_4. Disapprove, strongly",0.06907604725788012
VCF9028_1. Democratic Pres. candidate,0.0
VCF9028_2. Republican Pres. candidate,0.0
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.0661189167316221
approve_pres_2. Disapprove,0.0
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.0
ideology7_3. Slightly liberal,0.17234898479046085
"ideology7_4. Moderate, middle of the road",0.03989900724342372
ideology7_5. Slightly conservative,0.20181008221691146
ideology7_6. Conservative,-0.2563619063379886
ideology7_7. Extremely conservative,0.0
VCF0130_1. Every week (Except 1970: almost every week),-0.29219182236345803
VCF0130_2. Almost every week (no cases in 1970),0.06683649894367431
VCF0130_3. Once or twice a month,0.0
VCF0130_4. A few times a year,0.018125089910595367
VCF0130_5. Never (1990 and later: 'No' in filter),0.0
VCF0130_7. No religious preference (1970-1988),0.0
Will_PresElectionClose_1. Will win by quite a bit,0.13289992484912125
Will_PresElectionClose_2. Close race,0.0
"VCF9030b_1. Yes, contact by Democratic party",-0.015901828551226235
VCF9030b_2. No contact by Democratic party,0.016714767120871978
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,0.0
"VCF9030a_1. Yes, contact by major party",0.0
VCF9030a_2. No contact by major party,0.0
"VCF9030_1. Yes, contact: Democratic party",0.0
"VCF9030_2. Yes, contact: Republican party",0.0
"VCF9030_3. Yes, contact: both major parties",0.0
"VCF9030_4. Yes, contact: other",0.0
VCF9030_7. No contact,0.04663522468526792
VCF0720_1. No,-0.11271741814240321
VCF0720_2. Yes,0.17961421848357914
Family_income_1. 0 to 16 percentile,0.0
Family_income_2. 17 to 33 percentile,0.04605426435401378
Family_income_3. 34 to 67 percentile,-0.6881535761602006
Family_income_4. 68 to 95 percentile,0.4942197814070563
Family_income_5. 96 to 100 percentile,0.0
