feature,importance
Party_id3_3. Republicans (including leaners),-1.9136046632242532
therm_RepParty,-1.2238942442547442
Family_income_3. 34 to 67 percentile,-0.6881535761602006
Party_id7_5. Independent - Republican,-0.5493941572272665
therm_conservatives,-0.5434486829610636
therm_Blacks,-0.47052022937746535
VCF0130_1. Every week (Except 1970: almost every week),-0.29219182236345803
"education7_3. 12 grades, diploma or equivalency",-0.2603186262269187
"education6_3. 12 grades, diploma or equivalency",-0.2603186262269187
ideology7_6. Conservative,-0.2563619063379886
religion_2. Catholic [Roman Catholic],-0.2358877055395207
meetingCommuntySchool_2. No,-0.22601335639293954
bisexalFamilyorFriends_2. No,-0.20587438222884424
Age,-0.1667750347101776
satisfactionDemocracy_3. Not very satisfied,-0.1485279670886027
