feature,importance
therm_Christians,0.12734864965893827
therm_Mislims,0.7017868254035535
therm_ChrFundament,0.08989075087099023
therm_hispanics,0.037695753011680995
therm_RepParty,-1.3405498504975242
therm_DemParty,1.2160424204336133
therm_Whites,-0.11337273287882317
therm_liberals,0.716398919481147
therm_conservatives,-0.6567626991751053
therm_Blacks,-0.21191666469563714
Age,-0.1874366714927515
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.10112936639471988
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,-0.47888046933350203
howOftenTrust_5. Never,0.6226267963286002
follow_political_info_1. Always,-0.8408996399031782
follow_political_info_2. Most of the time,-0.0016702206475989116
follow_political_info_3. About half the time,0.09008096786991082
follow_political_info_4. Some of the time,0.4901023016607596
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.053552136596972263
bisexalFamilyorFriends_2. No,-0.2586270839392417
blackInfluence_Politics_1. Too much influence,-0.0332966155455157
blackInfluence_Politics_2. Just about the right amount,-0.01935741849420774
blackInfluence_Politics_3. Too little influence,0.32630694995003307
sex_orientation_1. Heterosexual or straight,-0.20418705775642992
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,-0.06414692689785287
powerDifference_unmatched category,0.12329004481517733
powerDifference_unmatched category,0.6134725338281042
powerDifference_5. It makes a big difference who is in power,-0.3626613479929162
votingMakedifference_1. Won't make a difference,-0.012216503882687569
votingMakedifference_unmatched category,-0.08388358267853406
votingMakedifference_unmatched category,0.21667396448053414
votingMakedifference_unmatched category,-0.21185224370944136
votingMakedifference_5. Can make a big difference,0.46031937964490277
satisfactionLife_1. Extremely satisfied,0.08163162740311
satisfactionLife_2. Very satisfied,-0.543211071521932
satisfactionLife_3. Moderately satisfied,-0.004171187909804169
satisfactionLife_4. Slightly satisfied,-0.018601389759925625
satisfactionLife_5. Not satisfied at all,0.05322645834407619
living_withFamily_1. Yes,-0.3358243822375682
living_withFamily_2. No,0.0
satisfactionDemocracy_1. Very satisfied,-0.00554460995274863
satisfactionDemocracy_2. Fairly satisfied,-0.5087727784664591
satisfactionDemocracy_3. Not very satisfied,0.23581033405603752
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_1. Yes,0.010025928904227608
meetingCommuntySchool_2. No,-0.12656765760888433
workedWithcommunity_1. Yes,-0.22934790609205166
workedWithcommunity_2. No,0.19327720362583412
have_healthInsurance_1. Yes,0.5576316708861195
have_healthInsurance_2. No,-1.430775933243341
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),-0.011403975366011263
authoritarian2_3. Self-reliance,0.4942382227353376
authoritarian4_1. Independence,0.015577806642458062
authoritarian4_2. Both (VOL),0.10176808962424069
authoritarian4_3. Respect for elders,-0.013999646109337955
authoritarian1_1. Curiosity,0.39478529066830814
authoritarian1_2. Both (VOL),0.12519476430824603
authoritarian1_3. Good manners,-0.3929831939189379
authoritarian3_1. Being considerate,0.5097512317697314
authoritarian3_2. Both (VOL),0.005639709671059895
authoritarian3_3. Well behaved,-0.20462166671934426
VCF0886_1.   Increased,0.3727547935632079
VCF0886_2.   Same,0.2551773069609279
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.0010990392954069426
volunteer_1. Yes,0.19382417934475843
volunteer_2. No,0.0
VCF0890_1.   Increased,0.11864244830467378
VCF0890_2.   Same,0.5784012213966718
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.39781572638245416
VCF9029_1. Close race,0.0
VCF9029_3. Win by quite a bit,0.15416628869130306
approve_president_economy_1. Approve strongly,0.0
approve_president_economy_2. Approve not strongly,0.3143740116846114
approve_president_economy_4. Disapprove not strongly,0.16149218829633122
approve_president_economy_5. Disapprove strongly,-0.3789425392433311
VCF9031_1. Yes,0.0
VCF9031_5. No,-0.2883832287396132
"approve_pres_strength_1. Approve, strongly",-0.012066375099867428
"approve_pres_strength_2. Approve, not strongly",1.1383411404742885
"approve_pres_strength_3. Disapprove, not strongly",-1.4768387779502734
"approve_pres_strength_4. Disapprove, strongly",-0.06456794513720905
VCF9028_1. Democratic Pres. candidate,1.0052111472853391
VCF9028_2. Republican Pres. candidate,-0.7842633883962444
VCF9028_3. Other Pres. candidate,0.44412464761896686
approve_pres_1. Approve,-0.5330422136306379
approve_pres_2. Disapprove,0.5083588143098203
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.019611396711074057
ideology7_3. Slightly liberal,-0.2378501386578528
"ideology7_4. Moderate, middle of the road",-0.1864536354493838
ideology7_5. Slightly conservative,-0.10961617666526095
ideology7_6. Conservative,0.45767200902026517
ideology7_7. Extremely conservative,-0.1265314051978355
VCF0130_1. Every week (Except 1970: almost every week),-0.14993625517241696
VCF0130_2. Almost every week (no cases in 1970),0.09941319406593982
VCF0130_3. Once or twice a month,-0.17456856469177878
VCF0130_4. A few times a year,0.5392737465856365
VCF0130_5. Never (1990 and later: 'No' in filter),0.4183644159588549
VCF0130_7. No religious preference (1970-1988),0.20538228148319226
Will_PresElectionClose_1. Will win by quite a bit,0.017384952039380296
Will_PresElectionClose_2. Close race,0.1864719672911927
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.39164494717740156
"VCF9030c_1. Yes, contact by Republican party",0.5911167148731403
VCF9030c_2. No contact by Republican party,-5.195191786238499e-05
"VCF9030a_1. Yes, contact by major party",0.0
VCF9030a_2. No contact by major party,0.028728097492624432
"VCF9030_1. Yes, contact: Democratic party",-0.4102858836103471
"VCF9030_2. Yes, contact: Republican party",0.022645003924391165
"VCF9030_3. Yes, contact: both major parties",0.11390424445278217
"VCF9030_4. Yes, contact: other",0.004864690529737099
VCF9030_7. No contact,0.009549667872145904
VCF0720_1. No,-0.18970487974445233
VCF0720_2. Yes,-0.0026125502361100087
Family_income_1. 0 to 16 percentile,-0.008681314797654442
Family_income_2. 17 to 33 percentile,0.017205081067982325
Family_income_3. 34 to 67 percentile,0.2261831615962615
Family_income_4. 68 to 95 percentile,0.14365629944963204
Family_income_5. 96 to 100 percentile,-0.22487165440936022
Interest_elections_1. Not much interested,-0.008029645781374927
Interest_elections_2. Somewhat interested,0.09905995503972334
Interest_elections_3. Very much interested,-0.1495066101345679
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.0047860934854579915
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.10318505557500937
VCF0719_1. No,-0.3362017917316229
VCF0719_2. Yes,0.0471765189941148
VCF0718_1. No,-0.1303696399054353
VCF0718_2. Yes,-0.031415828697570945
Party_id3_1. Democrats (including leaners),0.9603292150748647
Party_id3_2. Independents,0.014875344676263174
Party_id3_3. Republicans (including leaners),-1.65997106096837
Party_id7_1. Strong Democrat,0.2612455683586325
Party_id7_2. Weak Democrat,-0.047914863744017565
Party_id7_3. Independent - Democrat,0.33068918758415905
Party_id7_4. Independent - Independent,0.014875344676263174
Party_id7_5. Independent - Republican,-0.00896086412096225
Party_id7_6. Weak Republican,-0.22158734978960837
Party_id7_7. Strong Republican,-0.5966724120677054
education6_1. 8 grades or less ('grade school'),0.007096968706090471
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.025892515117922565
"education6_3. 12 grades, diploma or equivalency",0.014448281366929851
"education6_4. 12 grades, diploma or equivalency plus non-academic",-0.11339085356789187
"education6_5. Some college, no degree; junior/community college",0.0
education6_6. BA level degrees; advanced degrees incl. LLB,-0.20947642651007872
education7_1. 8 grades or less ('grade school'),0.007096968706090471
