feature,importance
therm_RepParty,-1.0693777420768686
Party_id3_3. Republicans (including leaners),-0.9813488743718205
votingMakedifference_5. Can make a big difference,-0.85406812108229
howOftenTrust_3. About half the time,-0.4523754373148458
VCF0720_1. No,-0.4316452305260546
VCF9030b_2. No contact by Democratic party,-0.36084427838715205
therm_ChrFundament,-0.32745218136588866
blackInfluence_Politics_1. Too much influence,-0.3223118653594718
Party_id7_7. Strong Republican,-0.3068187165544503
religion_1. Protestant,-0.2880266859792552
"VCF9030c_1. Yes, contact by Republican party",-0.2755899559116505
Party_id7_6. Weak Republican,-0.2644081935285497
powerDifference_unmatched category,-0.22570285021862002
therm_conservatives,-0.20818119853783937
VCF9029_1. Close race,-0.20481675248266734
