feature,importance
therm_Christians,0.0
therm_Mislims,0.28799888172556554
therm_ChrFundament,-0.3480834588495306
therm_hispanics,0.17104917168488237
therm_RepParty,-0.849713787942813
therm_DemParty,1.2431294458089255
therm_Whites,0.0
therm_liberals,0.49626150130520114
therm_conservatives,-0.175463331486223
therm_Blacks,0.006758612927466367
Age,-0.02456438502634358
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,-0.017719039602181987
howOftenTrust_3. About half the time,0.026714326472508425
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,-0.01485716656148684
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,-0.04483193327300035
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.037808139638909624
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.0025197408307459234
blackInfluence_Politics_3. Too little influence,0.796416351290682
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,-0.11675351597796979
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.002315048378737876
sex_orientation_unmatched category,0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,-0.00190992420573739
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.47158173196574643
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,-0.04817425076105188
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.01101164910658382
votingMakedifference_5. Can make a big difference,0.0384635136051324
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.048460140259044035
satisfactionLife_3. Moderately satisfied,0.027538797225440753
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.060726285203682395
living_withFamily_2. No,0.0
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,-0.031979328343250166
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,-0.10056196086837173
have_healthInsurance_2. No,0.04405550827541062
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,-0.003525041910988489
authoritarian2_2. Both (VOL),-0.05624070408862889
authoritarian2_3. Self-reliance,0.2960527220102069
authoritarian4_Missing,0.0
authoritarian4_1. Independence,-0.02662969080379248
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.04313785112497314
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,0.005582600999234946
authoritarian1_2. Both (VOL),-0.003386028508386405
authoritarian1_3. Good manners,-0.03944839275794907
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,0.09572676736975023
authoritarian3_2. Both (VOL),-0.029814271518309777
authoritarian3_3. Well behaved,-0.0229519360286518
VCF0886_Missing,0.0
VCF0886_1.   Increased,0.9055930262595933
VCF0886_2.   Same,-0.08209763583410003
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
