feature,importance
Party_id3_3. Republicans (including leaners),-1.2106606760212728
therm_RepParty,-0.849713787942813
approve_president_economy_5. Disapprove strongly,-0.5101180053944397
therm_ChrFundament,-0.3480834588495306
approve_pres_2. Disapprove,-0.2643766432144692
religion_2. Catholic [Roman Catholic],-0.21225255334471513
therm_conservatives,-0.175463331486223
"VCF9030c_1. Yes, contact by Republican party",-0.12054240402764846
sex_orientation_1. Heterosexual or straight,-0.11675351597796979
Party_id7_5. Independent - Republican,-0.10936105052220961
"approve_pres_strength_3. Disapprove, not strongly",-0.1038725785338193
have_healthInsurance_1. Yes,-0.10056196086837173
VCF0886_2.   Same,-0.08209763583410003
Party_id7_6. Weak Republican,-0.07427425848179053
"VCF9030a_1. Yes, contact by major party",-0.07261056691751573
