feature,importance
therm_Christians,-0.3264994194148798
therm_Mislims,0.253876324775589
therm_ChrFundament,0.0011968029249923157
therm_hispanics,0.015318974671906706
therm_RepParty,-1.0975916005209623
therm_DemParty,1.2211358097565523
therm_Whites,0.16669242775551582
therm_liberals,0.38995796591925214
therm_conservatives,-0.6374239337686276
therm_Blacks,0.27930124579515336
Age,-0.023568419112822734
howOftenTrust_Missing,0.5204887648914424
howOftenTrust_1. Always,-0.18281436786095082
howOftenTrust_2. Most of the time,-0.37403544388215504
howOftenTrust_3. About half the time,-0.04712968209890134
howOftenTrust_4. Once in a while,-0.1714934409736623
howOftenTrust_5. Never,0.43744955954754416
follow_political_info_Missing,0.010598700905590782
follow_political_info_1. Always,0.9260505214461745
follow_political_info_2. Most of the time,-0.07247601428529651
follow_political_info_3. About half the time,-0.40208788233395654
follow_political_info_4. Some of the time,-0.13084336980351172
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.08476298009060874
bisexalFamilyorFriends_1. Yes,-0.19912488928212335
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_Missing,-0.16623758283186874
blackInfluence_Politics_1. Too much influence,-0.003740223163653145
blackInfluence_Politics_2. Just about the right amount,0.2574418129902589
blackInfluence_Politics_3. Too little influence,0.042158448685368353
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.16755616067469434
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,-0.25830111888145807
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.19034137520396116
powerDifference_unmatched category,-0.5880972276181081
powerDifference_unmatched category,0.43964158982872126
powerDifference_unmatched category,0.0056351219481266005
powerDifference_5. It makes a big difference who is in power,0.03877232024436102
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,-0.27218986685367746
votingMakedifference_unmatched category,-0.1691115240963304
votingMakedifference_unmatched category,0.613143590481853
votingMakedifference_unmatched category,0.5835083189240489
votingMakedifference_5. Can make a big difference,-0.2042541637418033
satisfactionLife_Missing,-0.18443319098999167
satisfactionLife_1. Extremely satisfied,-0.007098453035194125
satisfactionLife_2. Very satisfied,0.4288532524260039
satisfactionLife_3. Moderately satisfied,0.11888512005341881
satisfactionLife_4. Slightly satisfied,-0.49135675904087883
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.21660206043107752
living_withFamily_1. Yes,0.0
living_withFamily_2. No,-0.14692396470989558
satisfactionDemocracy_Missing,-0.011575767012879637
satisfactionDemocracy_1. Very satisfied,0.9325314435214505
satisfactionDemocracy_2. Fairly satisfied,0.162468552929342
satisfactionDemocracy_3. Not very satisfied,-0.13862451583964833
satisfactionDemocracy_4. Not at all satisfied,-0.6925674290204882
meetingCommuntySchool_Missing,-0.0001385524761460476
meetingCommuntySchool_1. Yes,0.05516864478825847
meetingCommuntySchool_2. No,0.10387251087759561
workedWithcommunity_Missing,-0.0008543185573640666
workedWithcommunity_1. Yes,-0.11037473982572124
workedWithcommunity_2. No,0.5989139388262599
have_healthInsurance_Missing,0.07209802625236651
have_healthInsurance_1. Yes,-0.045561539316060204
have_healthInsurance_2. No,-0.01386265797640033
authoritarian2_Missing,0.09735080241533826
authoritarian2_1. Obedience,-0.026639212324513772
authoritarian2_2. Both (VOL),-0.07514453316256468
authoritarian2_3. Self-reliance,0.04514149000879875
authoritarian4_Missing,0.10189169814599013
authoritarian4_1. Independence,0.27482449081897586
authoritarian4_2. Both (VOL),-0.09229200136882701
authoritarian4_3. Respect for elders,-0.24420987708743663
authoritarian1_Missing,0.0013333133819509345
authoritarian1_1. Curiosity,0.14946272923698362
authoritarian1_2. Both (VOL),0.0
