feature,importance
satisfactionLife_1. Extremely satisfied,-1.1847189523447232
"approve_pres_strength_3. Disapprove, not strongly",-1.0104428650838873
Party_id3_3. Republicans (including leaners),-1.00268385514677
"approve_pres_strength_4. Disapprove, strongly",-0.9649077980909088
Party_id7_7. Strong Republican,-0.9556223156272615
ideology7_6. Conservative,-0.939915573699196
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.8951647529185671
follow_political_info_4. Some of the time,-0.682474193110689
approve_pres_1. Approve,-0.5233312303558455
powerDifference_5. It makes a big difference who is in power,-0.49082901827390646
howOftenTrust_2. Most of the time,-0.48159660039538865
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,-0.4800664022144395
religion_1. Protestant,-0.4768697070919359
therm_RepParty,-0.46961909316962214
VCF9028_2. Republican Pres. candidate,-0.46737823966482195
