feature,importance
Party_id3_3. Republicans (including leaners),-1.0434657629317337
therm_Christians,-0.5967464821881183
therm_RepParty,-0.5957003881956581
Party_id7_7. Strong Republican,-0.5815199130581119
VCF0130_3. Once or twice a month,-0.5437424999914169
therm_Blacks,-0.5015606995059432
Interest_elections_2. Somewhat interested,-0.4606837464392595
therm_conservatives,-0.44152303119591324
education7_6. BA level degrees,-0.43883832819654833
VCF0720_1. No,-0.4190360985813973
Family_income_4. 68 to 95 percentile,-0.3965842680908101
satisfactionDemocracy_3. Not very satisfied,-0.3687272891839534
VCF0130_1. Every week (Except 1970: almost every week),-0.33117159854441713
VCF9029_1. Close race,-0.28748869476417604
follow_political_info_4. Some of the time,-0.2668348143373035
