feature,importance
therm_RepParty,-1.4336550017368552
VCF9028_2. Republican Pres. candidate,-0.8527772912292791
therm_conservatives,-0.744997665668458
Party_id3_3. Republicans (including leaners),-0.6659447639816313
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.6355957542912389
therm_ChrFundament,-0.6051049328548518
howOftenTrust_3. About half the time,-0.5593749385697284
approve_pres_1. Approve,-0.48236150222832874
VCF0130_1. Every week (Except 1970: almost every week),-0.44665822289535706
Party_id7_2. Weak Democrat,-0.44334378808308345
"approve_pres_strength_2. Approve, not strongly",-0.382326646574522
VCF0130_4. A few times a year,-0.3645057307266083
blackInfluence_Politics_2. Just about the right amount,-0.33743821894951
ideology7_6. Conservative,-0.3362341417129874
ideology7_5. Slightly conservative,-0.33345995397795003
