feature,importance
"approve_pres_strength_4. Disapprove, strongly",-1.3994618847789813
therm_RepParty,-1.232447524520436
VCF9028_2. Republican Pres. candidate,-0.9031784499700966
approve_pres_1. Approve,-0.8828194985963602
Party_id3_3. Republicans (including leaners),-0.8419840935313914
follow_political_info_4. Some of the time,-0.7783731883347104
Party_id7_7. Strong Republican,-0.6380167229478364
ideology7_7. Extremely conservative,-0.6351738741090703
ideology7_5. Slightly conservative,-0.6252048563438469
approve_president_economy_5. Disapprove strongly,-0.5662271915279503
follow_political_info_3. About half the time,-0.5384891251726213
VCF0890_2.   Same,-0.5243244695803663
religion_1. Protestant,-0.5203650966419321
blackInfluence_Politics_1. Too much influence,-0.5118429561606198
approve_president_economy_2. Approve not strongly,-0.4686015918942771
