feature,importance
therm_conservatives,-0.6675634002553318
therm_RepParty,-0.6309268011608163
Party_id3_3. Republicans (including leaners),-0.6291078777908092
blackInfluence_Politics_2. Just about the right amount,-0.2846268036976783
therm_ChrFundament,-0.11281232047435301
authoritarian2_3. Self-reliance,-0.11023320116267983
satisfactionDemocracy_2. Fairly satisfied,-0.07887198756210083
approve_president_economy_5. Disapprove strongly,-0.07491406779338838
living_withFamily_2. No,-0.06431826882513088
authoritarian4_1. Independence,-0.05999937116082642
Party_id7_7. Strong Republican,-0.04529708011998025
Interest_elections_2. Somewhat interested,-0.04332890985081092
authoritarian3_3. Well behaved,-0.03354430964248021
VCF9029_1. Close race,-0.030840335694852332
Family_income_3. 34 to 67 percentile,-0.022628427165395624
