feature,importance
therm_Christians,-0.10716206965533728
therm_Mislims,0.13431606931776258
therm_ChrFundament,-0.03603912660466213
therm_hispanics,0.16937456000438209
therm_RepParty,-0.7958645865761812
therm_DemParty,1.2028186409534205
therm_Whites,0.165964274159965
therm_liberals,1.3410271275939711
therm_conservatives,-0.8110013352213574
therm_Blacks,0.2684523838090008
Age,-0.030347026272193416
howOftenTrust_Missing,0.0
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.08905789072754376
howOftenTrust_3. About half the time,-0.16147528476764847
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,-0.32450665795927625
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.0
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,-0.010482853774573404
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,-0.11782037996343649
blackInfluence_Politics_2. Just about the right amount,-0.012664382832357778
blackInfluence_Politics_3. Too little influence,0.3469803567845949
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.034749713780264826
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,-0.03809022715369105
votingMakedifference_5. Can make a big difference,0.06267737759312798
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.0503433065298476
satisfactionLife_3. Moderately satisfied,0.0
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,-0.036153245999506894
satisfactionDemocracy_3. Not very satisfied,0.0052259400487639825
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,-0.07078729448857253
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.04156177500046857
authoritarian4_Missing,0.0
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,0.6767049664395801
authoritarian1_2. Both (VOL),-0.0012034778519355066
authoritarian1_3. Good manners,-0.10678797461357199
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,0.0
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.0
VCF0886_Missing,0.0
VCF0886_1.   Increased,0.0
VCF0886_2.   Same,0.046686114084288785
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.004489183095877413
VCF0886_8.   DK,0.0
volunteer_Missing,0.0
volunteer_1. Yes,0.0
volunteer_2. No,0.0
VCF0890_Missing,0.0
VCF0890_1.   Increased,0.047324244637151985
VCF0890_2.   Same,-0.033993498236560435
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0890_8.   DK,0.0
VCF9029_Missing,-0.39177467886313877
VCF9029_1. Close race,0.0
VCF9029_3. Win by quite a bit,0.29090776852999356
VCF9029_8. DK; depends,0.0
approve_president_economy_Missing,0.0
approve_president_economy_1. Approve strongly,0.11711235841801082
approve_president_economy_2. Approve not strongly,-0.187152167688673
approve_president_economy_4. Disapprove not strongly,0.4263165133968906
approve_president_economy_5. Disapprove strongly,-0.22020800331899043
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,0.0
VCF9031_Missing,-0.021654176171613963
VCF9031_1. Yes,0.0
VCF9031_5. No,0.0310586264050776
approve_pres_strength_Missing,-0.05673520091572869
"approve_pres_strength_1. Approve, strongly",0.1127739057699055
"approve_pres_strength_2. Approve, not strongly",0.0
"approve_pres_strength_3. Disapprove, not strongly",0.0
