feature,importance
Party_id7_7. Strong Republican,-1.3787856599003157
approve_pres_1. Approve,-1.1975609218689736
VCF9028_2. Republican Pres. candidate,-0.7812291204658581
Party_id3_3. Republicans (including leaners),-0.6773809750067279
therm_conservatives,-0.6669843983500799
Interest_elections_1. Not much interested,-0.5493176305699914
VCF0717_2. Yes,-0.5076924038168319
therm_ChrFundament,-0.4318163250794588
Party_id7_3. Independent - Democrat,-0.41940040130981193
therm_Christians,-0.3697945941979187
religion_1. Protestant,-0.3302567923485426
blackInfluence_Politics_2. Just about the right amount,-0.19742777492139402
workedWithcommunity_2. No,-0.19239915360395338
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.15211512954035783
authoritarian1_3. Good manners,-0.13485338989237944
