feature,importance
Party_id3_1. Democrats (including leaners),1.4925638694643693
therm_DemParty,0.8958110241817536
blackInfluence_Politics_3. Too little influence,0.889776355167841
VCF9028_1. Democratic Pres. candidate,0.7386990839486881
authoritarian1_2. Both (VOL),0.716165414707465
follow_political_info_1. Always,0.7134269114001334
Race3_2. Black non-Hispanic,0.6703234188356052
Race7_2. Black non-Hispanic (1948-2012),0.6703234188356052
Race4_2. Black non-Hispanic,0.6703234188356052
VCF0720_1. No,0.6419737741584913
therm_Mislims,0.6178024662878093
VCF0717_2. Yes,0.585501332248722
therm_liberals,0.5645841151476383
workedWithcommunity_1. Yes,0.5230852708662576
votingMakedifference_1. Won't make a difference,0.4856620138925326
