feature,importance
VCF9028_2. Republican Pres. candidate,-1.077853197203477
therm_RepParty,-0.8769829197871479
powerDifference_1. It doesn't make a difference who is in power,-0.8765863673371243
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.845058524336765
Party_id3_3. Republicans (including leaners),-0.6820819394900783
authoritarian2_2. Both (VOL),-0.6592145331530024
therm_conservatives,-0.5868975049628098
blackInfluence_Politics_1. Too much influence,-0.5217111481586582
therm_ChrFundament,-0.46105260506392376
"approve_pres_strength_3. Disapprove, not strongly",-0.4222704612179739
authoritarian4_3. Respect for elders,-0.3543919599549691
Family_income_5. 96 to 100 percentile,-0.3434828543358467
ideology7_3. Slightly liberal,-0.33076653249427906
Party_id7_6. Weak Republican,-0.2660801474205803
satisfactionLife_4. Slightly satisfied,-0.2638334901118511
