feature,importance
therm_RepParty,-1.4270950860570983
VCF0130_1. Every week (Except 1970: almost every week),-0.7148313065494206
Party_id3_3. Republicans (including leaners),-0.7015112147808997
Interest_elections_3. Very much interested,-0.6141534460142992
Party_id7_7. Strong Republican,-0.5912247983130586
Party_id7_3. Independent - Democrat,-0.5617694671361599
ideology7_5. Slightly conservative,-0.5440989288595101
therm_Christians,-0.44508875187901875
therm_conservatives,-0.3405577193645091
therm_Blacks,-0.31930161592441936
authoritarian4_2. Both (VOL),-0.31504316618860023
VCF0720_1. No,-0.29949581146473847
VCF0717_2. Yes,-0.2969500148578953
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.2794614928450704
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.27895669306585225
