feature,importance
therm_Christians,-0.14040176947212882
therm_Mislims,0.32747159647338686
therm_ChrFundament,-0.29130696830346714
therm_hispanics,-0.293333452122
therm_RepParty,-1.427120472115687
therm_DemParty,1.5550454155050377
therm_Whites,0.16278752595849394
therm_liberals,0.7161886770204757
therm_conservatives,-0.5861860962387921
therm_Blacks,0.3982516829125594
Age,-0.45252003667748275
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.4812991941350555
howOftenTrust_3. About half the time,0.04286439866006847
howOftenTrust_4. Once in a while,0.02871297814698127
howOftenTrust_5. Never,-0.15940244365020062
follow_political_info_1. Always,0.1678186877836533
follow_political_info_2. Most of the time,-0.6978872962542308
follow_political_info_3. About half the time,0.0772675800562885
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,-0.03731612969391611
bisexalFamilyorFriends_2. No,0.4757621582503133
blackInfluence_Politics_1. Too much influence,-0.05097451328615328
blackInfluence_Politics_2. Just about the right amount,-0.0713473315904686
blackInfluence_Politics_3. Too little influence,1.3200882674879186
sex_orientation_1. Heterosexual or straight,0.04248881434302417
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,0.03177177806593588
powerDifference_unmatched category,0.0
powerDifference_unmatched category,-0.07175241752770253
powerDifference_unmatched category,-0.11360876765022962
powerDifference_5. It makes a big difference who is in power,0.04556321892403918
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,-0.4868971838615626
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,0.4334635004499493
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.06187719399102855
satisfactionLife_3. Moderately satisfied,0.23557728202410053
satisfactionLife_4. Slightly satisfied,-0.05727873477515867
satisfactionLife_5. Not satisfied at all,0.21504060539935693
living_withFamily_1. Yes,0.33012510985775645
living_withFamily_2. No,-0.027224349090740042
satisfactionDemocracy_1. Very satisfied,0.1982493501659453
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,-0.05740411869287805
satisfactionDemocracy_4. Not at all satisfied,-0.016000361544864932
meetingCommuntySchool_1. Yes,0.030693776341874722
meetingCommuntySchool_2. No,-0.4799066542390695
workedWithcommunity_1. Yes,-0.02042865456767921
workedWithcommunity_2. No,0.0
have_healthInsurance_1. Yes,0.051452522602366935
have_healthInsurance_2. No,0.1511957693142113
authoritarian2_1. Obedience,-0.23773415306748316
authoritarian2_2. Both (VOL),0.06815975716268562
authoritarian2_3. Self-reliance,0.1893161795016917
authoritarian4_1. Independence,0.27603954125720664
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,-0.14483683025952804
authoritarian1_1. Curiosity,0.11132317904175208
