feature,importance
therm_DemParty,1.5550454155050377
blackInfluence_Politics_3. Too little influence,1.3200882674879186
Party_id7_1. Strong Democrat,1.2534956805236204
Party_id3_1. Democrats (including leaners),1.2388445839503466
volunteer_1. Yes,0.7335596665422126
therm_liberals,0.7161886770204757
Will_PresElectionClose_1. Will win by quite a bit,0.7026907185491742
authoritarian3_2. Both (VOL),0.6635276317957315
howOftenTrust_2. Most of the time,0.4812991941350555
bisexalFamilyorFriends_2. No,0.4757621582503133
VCF0130_2. Almost every week (no cases in 1970),0.46773271863167815
votingMakedifference_5. Can make a big difference,0.4334635004499493
therm_Blacks,0.3982516829125594
VCF9028_1. Democratic Pres. candidate,0.35457557437406406
living_withFamily_1. Yes,0.33012510985775645
