feature,importance
therm_RepParty,-1.4270875918840908
Party_id3_3. Republicans (including leaners),-1.1326243581678193
ideology7_6. Conservative,-0.9328117224835623
Party_id7_7. Strong Republican,-0.9076568953422154
follow_political_info_2. Most of the time,-0.6979120422497271
VCF0130_4. A few times a year,-0.6641288146095167
therm_conservatives,-0.5861889193469362
"approve_pres_strength_3. Disapprove, not strongly",-0.584175028847837
authoritarian1_3. Good manners,-0.5009832952453633
votingMakedifference_unmatched category,-0.48688017754197954
meetingCommuntySchool_2. No,-0.4799239692673914
Age,-0.45252427338443957
VCF9028_2. Republican Pres. candidate,-0.37630979710750284
VCF9029_3. Win by quite a bit,-0.36123532234860034
Interest_elections_1. Not much interested,-0.3557348470297304
