feature,importance
therm_DemParty,0.648188559658721
bisexalFamilyorFriends_1. Yes,0.4804658290046497
blackInfluence_Politics_3. Too little influence,0.29373777223699704
votingMakedifference_unmatched category,0.1847651791490529
satisfactionDemocracy_2. Fairly satisfied,0.1833964117254925
Age,0.16642247919119074
VCF0890_1.   Increased,0.14424462556190557
VCF0886_1.   Increased,0.09976949259895403
follow_political_info_2. Most of the time,0.08159436335405615
VCF9028_1. Democratic Pres. candidate,0.07006711006055957
VCF0717_2. Yes,0.061203649086336784
volunteer_2. No,0.047568393081988625
authoritarian1_1. Curiosity,0.04101113772667363
Party_id3_1. Democrats (including leaners),0.03047968284267908
VCF9029_3. Win by quite a bit,0.02001411313513059
