feature,importance
therm_RepParty,-0.6097975018208902
therm_conservatives,-0.586689763085074
therm_ChrFundament,-0.26128934256355335
therm_Christians,-0.22092556272059896
bisexalFamilyorFriends_2. No,-0.15365465755882693
therm_Whites,-0.13323584363705548
"education6_3. 12 grades, diploma or equivalency",-0.07625044039354006
"education7_3. 12 grades, diploma or equivalency",-0.07625044039354006
"Education4_2. High school (12 grades or fewer, incl. non-college",-0.07625044039354006
Party_id3_3. Republicans (including leaners),-0.06466917675181467
blackInfluence_Politics_2. Just about the right amount,-0.045994992103734436
therm_Mislims,-0.04441284391326479
volunteer_1. Yes,-0.033350814258959034
authoritarian1_3. Good manners,-0.023202002440543726
VCF0717_1. No,-0.018098846226777716
