feature,importance
therm_Christians,-0.063408068078569
therm_Mislims,0.5466185695611185
therm_ChrFundament,-0.256824868814124
therm_hispanics,-0.05288610230178592
therm_RepParty,-1.4981417386944145
therm_DemParty,0.9778619454975503
therm_Whites,0.18585393932161148
therm_liberals,0.5155493275566758
therm_conservatives,-0.6714103238035695
therm_Blacks,-0.0008441461060759888
Age,-0.03898582730810562
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.16922275454179844
howOftenTrust_3. About half the time,0.5754261893284215
howOftenTrust_4. Once in a while,-0.04212540968812593
howOftenTrust_5. Never,0.0
follow_political_info_1. Always,0.17918602127298727
follow_political_info_2. Most of the time,-0.0643650635160051
follow_political_info_3. About half the time,-0.05955325457182675
follow_political_info_4. Some of the time,0.04422412040836861
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,-0.16580347720305635
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_1. Too much influence,-0.104218954717058
blackInfluence_Politics_2. Just about the right amount,0.26273374580669284
blackInfluence_Politics_3. Too little influence,0.09187207787161035
sex_orientation_1. Heterosexual or straight,0.020469959370226713
sex_orientation_2. Bisexual,-0.5268024390051017
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_1. It doesn't make a difference who is in power,-0.018630251380446404
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.2034637145465919
powerDifference_unmatched category,0.06187101642909236
powerDifference_5. It makes a big difference who is in power,-0.16283861756969925
votingMakedifference_1. Won't make a difference,-0.1051480227672558
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.11678045355805589
votingMakedifference_unmatched category,0.04655917593656689
votingMakedifference_5. Can make a big difference,0.13311255641206504
satisfactionLife_1. Extremely satisfied,0.19301636254117116
satisfactionLife_2. Very satisfied,-0.3197567258701751
satisfactionLife_3. Moderately satisfied,-0.16882235399893042
satisfactionLife_4. Slightly satisfied,0.023657407682164944
satisfactionLife_5. Not satisfied at all,0.010500111530211147
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.33675510381395457
satisfactionDemocracy_3. Not very satisfied,-0.024093581374418475
satisfactionDemocracy_4. Not at all satisfied,-0.4305673597273807
meetingCommuntySchool_1. Yes,-0.20331144558394998
meetingCommuntySchool_2. No,0.3964647204267607
workedWithcommunity_1. Yes,0.03679359021188099
workedWithcommunity_2. No,0.06334203746574078
have_healthInsurance_1. Yes,-0.5335566492209998
have_healthInsurance_2. No,0.2553786788464958
authoritarian2_1. Obedience,0.09368079615510798
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.01295104300016062
authoritarian4_1. Independence,-0.05061492295380767
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.13542516748306932
authoritarian1_1. Curiosity,0.019479254819209518
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.08920310812180884
authoritarian3_1. Being considerate,-0.6053389510099749
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.4917482565937024
VCF0886_1.   Increased,0.060726161933077796
VCF0886_2.   Same,0.2606835088823103
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.05532856990567211
volunteer_1. Yes,-0.011196809605968057
volunteer_2. No,0.4619077042996042
VCF0890_1.   Increased,0.17573706633403224
VCF0890_2.   Same,0.0331424415539127
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.09642726282866658
VCF9029_1. Close race,-0.15920905734377358
VCF9029_3. Win by quite a bit,0.013867777565960162
approve_president_economy_1. Approve strongly,0.18351249737809017
approve_president_economy_2. Approve not strongly,-0.4262813911542871
approve_president_economy_4. Disapprove not strongly,0.0
approve_president_economy_5. Disapprove strongly,0.10867795570524423
VCF9031_1. Yes,-0.02179286477592625
VCF9031_5. No,0.24407136028737791
"approve_pres_strength_1. Approve, strongly",0.47676770055413475
"approve_pres_strength_2. Approve, not strongly",0.022589027026392615
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",-0.4364876539382342
VCF9028_1. Democratic Pres. candidate,1.0387510499166406
VCF9028_2. Republican Pres. candidate,-0.2782665147022384
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.14955850495773607
approve_pres_2. Disapprove,0.6533922754854542
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,-0.2616220600875272
ideology7_3. Slightly liberal,0.6760388451816756
"ideology7_4. Moderate, middle of the road",0.44717412302421716
ideology7_5. Slightly conservative,-0.45969718102690643
ideology7_6. Conservative,-0.04051443107673541
ideology7_7. Extremely conservative,0.0
