feature,importance
therm_Christians,-0.06346513068617782
therm_Mislims,0.5466714879122204
therm_ChrFundament,-0.25679970090573273
therm_hispanics,-0.052881385785836364
therm_RepParty,-1.4981412479635186
therm_DemParty,0.9778925002373537
therm_Whites,0.1858899998580941
therm_liberals,0.5155474755456629
therm_conservatives,-0.6714324145452824
therm_Blacks,-0.0008359661175824068
Age,-0.038986256838966706
howOftenTrust_Missing,0.0
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.169275248810392
howOftenTrust_3. About half the time,0.5754390124377837
howOftenTrust_4. Once in a while,-0.04211972613995371
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.1795501030288102
follow_political_info_2. Most of the time,-0.06454451660773484
follow_political_info_3. About half the time,-0.059504801863998626
follow_political_info_4. Some of the time,0.04407196168654363
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.06621674577244689
bisexalFamilyorFriends_1. Yes,-0.1658677403431846
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,-0.10441807103831302
blackInfluence_Politics_2. Just about the right amount,0.26264872244899695
blackInfluence_Politics_3. Too little influence,0.09183523299072469
sex_orientation_Missing,0.11691989072431345
sex_orientation_1. Heterosexual or straight,0.020152779210235536
sex_orientation_2. Bisexual,-0.5262687051534972
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,-0.01866791159423867
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.2034526470108453
powerDifference_unmatched category,0.0619867988713005
powerDifference_5. It makes a big difference who is in power,-0.1628222908584954
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,-0.10493709861509462
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.11682844940452934
votingMakedifference_unmatched category,0.046622692797229234
votingMakedifference_5. Can make a big difference,0.13318711260033594
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.19299567607512483
satisfactionLife_2. Very satisfied,-0.3198196069116088
satisfactionLife_3. Moderately satisfied,-0.16873581603966453
satisfactionLife_4. Slightly satisfied,0.023954380467208356
satisfactionLife_5. Not satisfied at all,0.010621399111658106
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.0
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.33653024262375336
satisfactionDemocracy_3. Not very satisfied,-0.024256968118681308
satisfactionDemocracy_4. Not at all satisfied,-0.4306489851420799
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,-0.20325482305334397
meetingCommuntySchool_2. No,0.39666085210809887
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.03677683023641308
workedWithcommunity_2. No,0.06337699704937655
have_healthInsurance_Missing,0.0135829897703343
have_healthInsurance_1. Yes,-0.5336405845268745
have_healthInsurance_2. No,0.25524925535964826
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,0.09363645008686147
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.012986717366741844
authoritarian4_Missing,0.0
authoritarian4_1. Independence,-0.050906204030421856
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.13516975174434798
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,0.019297424069873382
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.08937068063002303
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,-0.6058086532318633
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,0.4913588693626666
VCF0886_Missing,-0.3198487097614052
VCF0886_1.   Increased,0.060605985280912024
VCF0886_2.   Same,0.26059829818667096
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.055298583285909864
VCF0886_8.   DK,0.0
volunteer_Missing,-0.04354915048901244
volunteer_1. Yes,-0.011232394515568449
volunteer_2. No,0.4616296737388771
VCF0890_Missing,-0.15754027236350515
VCF0890_1.   Increased,0.17532601224131728
VCF0890_2.   Same,0.03291592678154119
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.09666008448976063
VCF0890_8.   DK,0.0
VCF9029_Missing,0.3417090642165572
VCF9029_1. Close race,-0.15917076497897092
VCF9029_3. Win by quite a bit,0.013987515377678552
VCF9029_8. DK; depends,0.0
approve_president_economy_Missing,-0.47823678204028985
approve_president_economy_1. Approve strongly,0.18334560483441956
approve_president_economy_2. Approve not strongly,-0.4263891128337961
approve_president_economy_4. Disapprove not strongly,0.0
approve_president_economy_5. Disapprove strongly,0.10869394618127452
