feature,importance
Party_id3_1. Democrats (including leaners),1.590058944648236
Party_id7_1. Strong Democrat,1.4553388733555315
satisfactionLife_1. Extremely satisfied,1.268277166044962
powerDifference_unmatched category,1.178174867097105
therm_DemParty,1.1030468250028675
ideology7_2. Liberal,0.8330716678392802
approve_president_economy_4. Disapprove not strongly,0.8004076515325009
living_withFamily_1. Yes,0.7418930188667959
VCF9028_1. Democratic Pres. candidate,0.7205045066986855
therm_liberals,0.5437404082970939
"approve_pres_strength_3. Disapprove, not strongly",0.5220983878458562
VCF0890_1.   Increased,0.507721199889838
satisfactionDemocracy_2. Fairly satisfied,0.4572183985815602
authoritarian2_2. Both (VOL),0.43864118110285305
Family_income_1. 0 to 16 percentile,0.4024842218660134
